"contract_id","production_order","global_chunk_order","group_order","group_id","chunk_order","pair_start","pair_end","pair_count","pair_subset_sha256","output_policy","production_origin","workers","retries","resume_policy","authorization_state","comparison_jobs","clustering_jobs","fusion_jobs","label_jobs","outcome_jobs","adoption_jobs","manuscript_claim_jobs","outcome_label_state","biological_outcomes_computed","scientific_engine_version"
"mv08zt_engine_v2_full_landscape_queue_v1",1,1,1,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260805:H0",1,1,250,250,"1b6c387a8991024a2474eb7fee75d7421dc885a049c50f44eb96df025a86fb86","private_atomic_distances_plus_status","fresh_engine_v2_from_zero_no_old_output_reuse",1,0,"strict_completed_prefix_only","authorized_after_mv08zt_commit",0,0,0,0,0,0,0,"closed",FALSE,2
"mv08zt_engine_v2_full_landscape_queue_v1",2,2,1,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260805:H0",2,251,500,250,"e25b7547e565304580ada35dfea635a477f6d4f59fd720882720f23a6113a3d6","private_atomic_distances_plus_status","fresh_engine_v2_from_zero_no_old_output_reuse",1,0,"strict_completed_prefix_only","authorized_after_mv08zt_commit",0,0,0,0,0,0,0,"closed",FALSE,2
"mv08zt_engine_v2_full_landscape_queue_v1",3,3,1,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260805:H0",3,501,750,250,"a99c16959814773cc7b191a46644b8554287bde47b2b505d03fd81cc0dd13cce","private_atomic_distances_plus_status","fresh_engine_v2_from_zero_no_old_output_reuse",1,0,"strict_completed_prefix_only","authorized_after_mv08zt_commit",0,0,0,0,0,0,0,"closed",FALSE,2
"mv08zt_engine_v2_full_landscape_queue_v1",4,4,1,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260805:H0",4,751,1000,250,"6708de928ff31a4eca986f5ce55bdc88f51275386fc5cf56dfcde979627837a3","private_atomic_distances_plus_status","fresh_engine_v2_from_zero_no_old_output_reuse",1,0,"strict_completed_prefix_only","authorized_after_mv08zt_commit",0,0,0,0,0,0,0,"closed",FALSE,2
"mv08zt_engine_v2_full_landscape_queue_v1",5,5,1,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260805:H0",5,1001,1250,250,"46a3723b2ff6ffba86d8b56afafe8b4a398d090bf8cd67c9d70d209cb382ad51","private_atomic_distances_plus_status","fresh_engine_v2_from_zero_no_old_output_reuse",1,0,"strict_completed_prefix_only","authorized_after_mv08zt_commit",0,0,0,0,0,0,0,"closed",FALSE,2
"mv08zt_engine_v2_full_landscape_queue_v1",6,6,1,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260805:H0",6,1251,1500,250,"ad5c90700cd976cf044aa2ab9f7bfdfc3aa966fed79a069e0cf7671bb33c6210","private_atomic_distances_plus_status","fresh_engine_v2_from_zero_no_old_output_reuse",1,0,"strict_completed_prefix_only","authorized_after_mv08zt_commit",0,0,0,0,0,0,0,"closed",FALSE,2
"mv08zt_engine_v2_full_landscape_queue_v1",7,7,1,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260805:H0",7,1501,1750,250,"9356bb4b2c89cbbbb476ac066f9ab2305379f9448999164975052fbcca258236","private_atomic_distances_plus_status","fresh_engine_v2_from_zero_no_old_output_reuse",1,0,"strict_completed_prefix_only","authorized_after_mv08zt_commit",0,0,0,0,0,0,0,"closed",FALSE,2
"mv08zt_engine_v2_full_landscape_queue_v1",8,8,1,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260805:H0",8,1751,2000,250,"fdd079354d60cc67b73be584051d458491142eeadbbd2c2efdc8136c57ac8998","private_atomic_distances_plus_status","fresh_engine_v2_from_zero_no_old_output_reuse",1,0,"strict_completed_prefix_only","authorized_after_mv08zt_commit",0,0,0,0,0,0,0,"closed",FALSE,2
"mv08zt_engine_v2_full_landscape_queue_v1",9,9,1,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260805:H0",9,2001,2250,250,"f311245d87312e49e62a3d912afa2eaa4e9c1123f51f4d26ab5a231be527a48d","private_atomic_distances_plus_status","fresh_engine_v2_from_zero_no_old_output_reuse",1,0,"strict_completed_prefix_only","authorized_after_mv08zt_commit",0,0,0,0,0,0,0,"closed",FALSE,2
"mv08zt_engine_v2_full_landscape_queue_v1",10,10,1,"mv08n_landscape:internal124:sct_data_all_qc_fit_selected384:exact500:20260805:H0",10,2251,2500,250,"860bcb140abe1ccaf65ac5c91521c325d6c4a87f74c8b1340f60e23447a0d8c4","private_atomic_distances_plus_status","fresh_engine_v2_from_zero_no_old_output_reuse",1,0,"strict_completed_prefix_only","authorized_after_mv08zt_commit",0,0,0,0,0,0,0,"closed",FALSE,2
