"contract_id","execution_head","production_order","global_chunk_order","group_order","chunk_order","pair_count","pair_subset_sha256","distances_bytes","distances_sha256","status_bytes","status_sha256","exact","all_active_levels","grid_points","level_cap_applied","scientific_engine_version","workers","retries","outcome_label_state","biological_outcomes_computed"
"mv08zt_chunk_completion_v1","6515d9b85a2c9467b3cb688e6e9429e0be944d8d",1,1,1,1,250,"1b6c387a8991024a2474eb7fee75d7421dc885a049c50f44eb96df025a86fb86",238816,"62c7ef8cb113fe0a22063db6507e9bc722ab87e00107bd60263570b070ced646",875,"a31b59d0d8696cb3699b5eb9a1ff64fe67bac6d6146c5f0fea19160d126df249",TRUE,TRUE,0,FALSE,2,1,0,"closed",FALSE
"mv08zt_chunk_completion_v1","6515d9b85a2c9467b3cb688e6e9429e0be944d8d",2,2,1,2,250,"e25b7547e565304580ada35dfea635a477f6d4f59fd720882720f23a6113a3d6",239111,"495eb607d235ae6ab13eb6441525f4f8bf5d581ec935a2169834d78886e9d304",877,"e2bbc2c4fbbb0d010bb26885b4934fbbb695f3a0eec24f3a32637afcf66fa10a",TRUE,TRUE,0,FALSE,2,1,0,"closed",FALSE
"mv08zt_chunk_completion_v1","6515d9b85a2c9467b3cb688e6e9429e0be944d8d",3,3,1,3,250,"a99c16959814773cc7b191a46644b8554287bde47b2b505d03fd81cc0dd13cce",239213,"d9fc0c2c28585922d064beccb7a5791e4f07d50604e994f56d76b8aa2b12025a",876,"f869c611869e1dc8efd112dd401ae1e3895cc62f4c8144e0f9326f9f112d6251",TRUE,TRUE,0,FALSE,2,1,0,"closed",FALSE
"mv08zt_chunk_completion_v1","6515d9b85a2c9467b3cb688e6e9429e0be944d8d",4,4,1,4,250,"6708de928ff31a4eca986f5ce55bdc88f51275386fc5cf56dfcde979627837a3",239133,"cfdad3925d105c09383d7ff615efaec5308ab898206774a88ef911e550db83c8",878,"fcd6af9d474989f408805f9794d285c7185627226d66019765b92b25c4c411d6",TRUE,TRUE,0,FALSE,2,1,0,"closed",FALSE
"mv08zt_chunk_completion_v1","6515d9b85a2c9467b3cb688e6e9429e0be944d8d",5,5,1,5,250,"46a3723b2ff6ffba86d8b56afafe8b4a398d090bf8cd67c9d70d209cb382ad51",239375,"00fbd8cf39f8097302adc6d996c4cb4ec053b1a7db762ba211f33379f9d1fd05",879,"c6a6176da2a58e3fa0feec805b7b29f8630a5c2032c02e9474bddbdd595bc068",TRUE,TRUE,0,FALSE,2,1,0,"closed",FALSE
"mv08zt_chunk_completion_v1","6515d9b85a2c9467b3cb688e6e9429e0be944d8d",6,6,1,6,250,"ad5c90700cd976cf044aa2ab9f7bfdfc3aa966fed79a069e0cf7671bb33c6210",239224,"8b001bf223aa82e2fb5ad30ba4e7bcc4444a438a767f02dada4d82482f6cda28",879,"d73e2cab1779da7ef70d1c8229cd13e41459d5f68d646e2cf106062be0fbf1df",TRUE,TRUE,0,FALSE,2,1,0,"closed",FALSE
"mv08zt_chunk_completion_v1","6515d9b85a2c9467b3cb688e6e9429e0be944d8d",7,7,1,7,250,"9356bb4b2c89cbbbb476ac066f9ab2305379f9448999164975052fbcca258236",239264,"59b8b7713b1b9369b5915af248266025b91d6960e96e6e29a16577c884ad049e",879,"f39662cec314068e50bb962e417dc6721c30347e9483261d2e1df09b3cc4d3c7",TRUE,TRUE,0,FALSE,2,1,0,"closed",FALSE
"mv08zt_chunk_completion_v1","6515d9b85a2c9467b3cb688e6e9429e0be944d8d",8,8,1,8,250,"fdd079354d60cc67b73be584051d458491142eeadbbd2c2efdc8136c57ac8998",239350,"743402a74a9b85b4142d03bac7298283fb0b26d54bd58447560c3d3612c26f4d",879,"8bcd80edc73745c5315c397bd22ee3096ef1d0693616e32a4b7f0738dba244f1",TRUE,TRUE,0,FALSE,2,1,0,"closed",FALSE
"mv08zt_chunk_completion_v1","6515d9b85a2c9467b3cb688e6e9429e0be944d8d",9,9,1,9,250,"f311245d87312e49e62a3d912afa2eaa4e9c1123f51f4d26ab5a231be527a48d",239313,"5ce98b5cf16ac1a479180c3b434b9f95069c749cdcd523cda9ed8ab5addbbb87",879,"333aba6481541c9d8fde7d7ea4409c83898db4f79ad42061fa1b22736147e852",TRUE,TRUE,0,FALSE,2,1,0,"closed",FALSE
"mv08zt_chunk_completion_v1","6515d9b85a2c9467b3cb688e6e9429e0be944d8d",10,10,1,10,250,"860bcb140abe1ccaf65ac5c91521c325d6c4a87f74c8b1340f60e23447a0d8c4",239658,"3e71342260cea0fffcd332ac068095cc16a182a7b8078830948db2c8285b69e9",880,"827728623e69128e13131771c4d113e59e57a654ea2a53c0a602644275182ede",TRUE,TRUE,0,FALSE,2,1,0,"closed",FALSE
"mv08zt_chunk_completion_v1","6515d9b85a2c9467b3cb688e6e9429e0be944d8d",11,11,1,11,250,"a18b3f7642bc0e5c479f856d33ccf98c06cfdc63af3cb09c8cab56017140d61a",239454,"dba188442edd715cc451a55b4ed489e36e8f7ce09bf1aee906d0135e51c37e73",880,"a8ee89b8649ca0932572671cee3859da6a04fc69339b45db241149b2eefc00d8",TRUE,TRUE,0,FALSE,2,1,0,"closed",FALSE
"mv08zt_chunk_completion_v1","6515d9b85a2c9467b3cb688e6e9429e0be944d8d",12,12,1,12,250,"f35b3f443272e924f46948c13c9a6f4ec6da9307abbb8c0afccab6f3ed8ce1d0",239645,"020bce67d917835685f3cbb1ce5ddc64a58e013a1eb41cb2080b269732e730a0",880,"457ea78da89beddc383a39eb553ceabbe36ad1b4c865306282a22c3b577a72bb",TRUE,TRUE,0,FALSE,2,1,0,"closed",FALSE
"mv08zt_chunk_completion_v1","6515d9b85a2c9467b3cb688e6e9429e0be944d8d",13,13,1,13,250,"c72d4fa2111037bddf941970b098c529c0c76d56bd25f9b9a284f9fc18a286c7",239702,"92ae9dada8f64367f7a10ce2553c86757d0ae5e19edd5980f1d11ffa0917f387",880,"f28b57db544069aa032a2c946ff1b5f35a4f5c19ab1a5615ddff9055a3633d1a",TRUE,TRUE,0,FALSE,2,1,0,"closed",FALSE
