"contract_id","catalog_order","stack_id","dataset_scope","representation_id","panel_id","seed","view_kind","homology_dimension","units","unordered_pairs","source_stage","source_group_id","source_group_order","distance_payload_sha256","available","corrective_stage"
"mv08zv_distance_stack_catalog_v1",1,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260805,"gene_topology_v1","H0",124,7626,"MV7-H","mv07h_landscape_group_v1:8449cfab9938e66c38e10003592d12523adb82659812f66442f36abd187a3304",6,"508ad368f463ef6ada6b94a07f93a5f2d95de815a56f8dcfd05b3cba3eaa96f5",TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",2,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260805,"gene_topology_v1","H1",124,7626,"MV7-H","mv07h_landscape_group_v1:16e491af8c362f41ade01bfa8bd2091a232c3edfe1eb0c57997454b74e31405f",5,"eebe181354adf96b1b50f870f9873b58fc4b5b692b4a8b8a56b9be9bd012b1a2",TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",3,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260806,"gene_topology_v1","H0",124,7626,"MV7-H","mv07h_landscape_group_v1:68ac77b1977714fd0115477ef0a0bb89cdba0b6be7d34a871e4f78799a12a55d",7,"b07c5e06512ebb329bb440dfa3aca63a4b6774122eab19a46b5d893852c2c1d3",TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",4,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260806,"gene_topology_v1","H1",124,7626,"MV7-H","mv07h_landscape_group_v1:a2306ca6cb0189a97a60562c521d3f322d92ed9dd81f7dd755676dbde6694dd6",2,"51dc9986bc915e5d95613862fa0815695798bd988a09951b97faae546a971dba",TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",5,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260807,"gene_topology_v1","H0",124,7626,"MV7-H","mv07h_landscape_group_v1:5b8f11e17d2af36b80760b8cf389eac13bc82718b109226887d6cfeb06cfa264",8,"a4a80e59d2a692994583f7e92952b2c520b05eb9f2ca5c75d9882b84f5679c64",TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",6,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260807,"gene_topology_v1","H1",124,7626,"MV7-H","mv07h_landscape_group_v1:eb7602ef5b12f26de930bf1af58d988e216d373f2881b593c68e3ce3e44e94aa",1,"77eee28eb99cadd58559ab2dcb13c5df1ecef8ea246f837ea5355ea4056b372b",TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",7,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260808,"gene_topology_v1","H0",124,7626,"MV7-H","mv07h_landscape_group_v1:5a1334a1565cce9551232ca0c4ac9516b81440c0363b9ca8b318d72636b832a8",9,"94c8612b484e314e778e72253ef13acce579d48633a73b9fdae6c588b9308ebb",TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",8,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260808,"gene_topology_v1","H1",124,7626,"MV7-H","mv07h_landscape_group_v1:39092305d66dc22a752741094b92dc4531f3b8a41c02a80f1358adaab9bb497b",3,"5d2d532af508ad45843ff319b8b2800b26e08d626b77438c252a14a3635569ed",TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",9,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260809,"gene_topology_v1","H0",124,7626,"MV7-H","mv07h_landscape_group_v1:d3f8b488bb4137befaab0746a03d8544c84e2e9af3ba8485ec6750269801d197",10,"b373e9404b379e841b604289f0eb6afa1890a80a7e7a6bf43eb3098356d54e21",TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",10,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260809,"gene_topology_v1","H1",124,7626,"MV7-H","mv07h_landscape_group_v1:ad5a7bf6538d14452e4daa833e200549e053ed595fe904a76ec57d2f03842413",4,"ccaeb631fc063d5f57c556bba5ce7fdcfa52a79664f99becec4ef53f74a07aeb",TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",11,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_01",1,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",12,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_11",11,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",13,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260806,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_03",3,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",14,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260806,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_13",13,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",15,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260807,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_05",5,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",16,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260807,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_15",15,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",17,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260808,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_07",7,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",18,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260808,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_17",17,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",19,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260809,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_09",9,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",20,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260809,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_19",19,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",21,"allqc_residual_exact500","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_02",2,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",22,"allqc_residual_exact500","external8","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H0",8,28,"MV8-ZU","mv08zu_group_24",24,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",23,"allqc_residual_exact500","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_12",12,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",24,"allqc_residual_exact500","external8","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H1",8,28,"MV8-ZU","mv08zu_group_28",28,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",25,"allqc_residual_exact500","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_04",4,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",26,"allqc_residual_exact500","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_14",14,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",27,"allqc_residual_exact500","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_06",6,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",28,"allqc_residual_exact500","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_16",16,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",29,"allqc_residual_exact500","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260808,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_08",8,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",30,"allqc_residual_exact500","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260808,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_18",18,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",31,"allqc_residual_exact500","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_10",10,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",32,"allqc_residual_exact500","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_20",20,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",33,"allqc_data_common475","external8","sct_data_all_qc_fit_selected384","common475",20260805,"gene_topology_v1","H0",8,28,"MV8-ZU","mv08zu_group_22",22,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",34,"allqc_data_common475","external8","sct_data_all_qc_fit_selected384","common475",20260805,"gene_topology_v1","H1",8,28,"MV8-ZU","mv08zu_group_26",26,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",35,"allqc_residual_common475","external8","sct_pearson_residual_all_qc_fit_selected384","common475",20260805,"gene_topology_v1","H0",8,28,"MV8-ZU","mv08zu_group_23",23,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",36,"allqc_residual_common475","external8","sct_pearson_residual_all_qc_fit_selected384","common475",20260805,"gene_topology_v1","H1",8,28,"MV8-ZU","mv08zu_group_27",27,,TRUE,FALSE
"mv08zv_distance_stack_catalog_v1",37,"same_axis_selectedfit_data_common475","external8","sct_data_selected384_fit_same_axis","common475",20260805,"gene_topology_v1","H0",8,28,"MV8-ZV-correction","mv08zv_external_gene_baseline_h0",1,,FALSE,TRUE
"mv08zv_distance_stack_catalog_v1",38,"same_axis_selectedfit_data_common475","external8","sct_data_selected384_fit_same_axis","common475",20260805,"gene_topology_v1","H1",8,28,"MV8-ZV-correction","mv08zv_external_gene_baseline_h1",2,,FALSE,TRUE
