"contract_id","role","file","bytes","sha256"
"mv08zw_implementation_binding_v1","worker","scripts/run_mv08zw_correction_worker.R",8757,"01a4f0022d9ce3e689ffd2dd59039b234edd6e9dcfc1a9e6a885cbc7ece10d9d"
"mv08zw_implementation_binding_v1","serial_monitor","scripts/run_mv08zw_landscape_correction.R",11084,"a9e89938f652ad2e9b4fcd0d56b45fe73b5874b533d4117cbd560719465b7c7e"
"mv08zw_implementation_binding_v1","prefreeze_builder","scripts/build_mv08zw_correction_execution_prefreeze.R",10926,"c8f6deef41a58d1aba3a368f9264642b741681f7f099112b7c7823f0e650c4c9"
"mv08zw_implementation_binding_v1","independent_closure_builder","scripts/build_mv08zx_correction_closure.R",14003,"f691057efa4b32ee885f2ffe5fe1ca03f0f0838392b93591556dc59419451e1f"
"mv08zw_implementation_binding_v1","runtime_dependency","R/mv08z_landscape_production.R",3990,"93a9ac4b40f7158bbe058fe3195e96abcd528fef6b0388a073b86eb8bf7c157f"
"mv08zw_implementation_binding_v1","runtime_dependency","R/landscape_rust_prototype.R",5137,"4771ec396759dacaf36e860819b49978b37d8cc8d4224e54cc72b0077f8a5eb1"
"mv08zw_implementation_binding_v1","runtime_dependency","R/landscape_reference.R",14434,"49020618056a329b34e57ab1a8c62403be681741cbb928a4ed0d931a8b3b13da"
"mv08zw_implementation_binding_v1","runtime_dependency","R/landscape_contract.R",10372,"4e60dcc8e291ae657c326bc08b9fff0b4eedbbdf7e831eb7e1226acd9c173fa9"
"mv08zw_implementation_binding_v1","runtime_dependency","R/mv08s_ph_sentinel.R",10864,"6ac2fc1421a0589db610874678350f22863b0a7493e89aac49cceb6d251c5039"
"mv08zw_implementation_binding_v1","runtime_dependency","R/mv07g_sentinel.R",12825,"7e1f7a08879cc1e93a2dacdae394d916e38f414c56fdd6c0cc25b39816aca39d"
"mv08zw_implementation_binding_v1","runtime_dependency","R/dual_view_topology.R",36758,"25c967c214df3cf84e275ca28fb01896ec319c4f056f68e172bec7c2e51bf3bd"
"mv08zw_implementation_binding_v1","runtime_dependency","R/toy_baseline.R",8698,"7231cd35bd371db4a742bc61c8160ef1ca7ae186bb08c37cd91e06987268ab22"
