"contract_id","comparison_order","dataset_scope","contrast_id","seed","homology_dimension","left_stack","right_stack","unordered_pairs","metrics","interpretation","authorization_state","outcome_label_state","biological_outcomes_computed","axis_policy","left_catalog_order","right_catalog_order","view_kind","distance_transform","dimension_policy","pair_axis_policy","input_ready","blocked_reason","clustering_jobs","fusion_jobs","comparison_id","pair_axis_sha256","left_payload_set_sha256","right_payload_set_sha256"
"mv08zy_comparison_queue_v1",1,"internal124","fit_scope_effect",20260805,"H0","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;nonnegative_scale;relative_stress;left_right_median;median_abs_scaled_change;p95_abs_scaled_change;mean_median_p10_neighbor_overlap;input_output_hashes","descriptive_no_equivalence_or_biological_claim","authorized_after_mv08zy_prefreeze_commit","closed",FALSE,"same_internal_sample_seed_axis_required",1,11,"gene_topology_v1","sqrt_exact_squared_L2","H0_H1_separate_no_combination","same_124_units_same_seed_7626_unordered_pairs",TRUE,"none",0,0,"mv08zy:internal124:fit_scope_effect:20260805:H0","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","238012bb63401f93286a80ab1e016b243e11d6bcb3f6120ee93892903dc8ed17","9881c938c0aa37f404a81dd2889bd470cdd7f3dab8850e92f9cd0aecb96b08bd"
"mv08zy_comparison_queue_v1",2,"internal124","layer_effect",20260805,"H0","allqc_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;nonnegative_scale;relative_stress;left_right_median;median_abs_scaled_change;p95_abs_scaled_change;mean_median_p10_neighbor_overlap;input_output_hashes","descriptive_no_equivalence_or_biological_claim","authorized_after_mv08zy_prefreeze_commit","closed",FALSE,"same_internal_sample_seed_axis_required",11,21,"gene_topology_v1","sqrt_exact_squared_L2","H0_H1_separate_no_combination","same_124_units_same_seed_7626_unordered_pairs",TRUE,"none",0,0,"mv08zy:internal124:layer_effect:20260805:H0","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","9881c938c0aa37f404a81dd2889bd470cdd7f3dab8850e92f9cd0aecb96b08bd","b0faefce7b9d470a648def63419dcced211585a9913a8e4eebef600468770070"
"mv08zy_comparison_queue_v1",3,"internal124","net_migration_effect",20260805,"H0","existing_selectedfit_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;nonnegative_scale;relative_stress;left_right_median;median_abs_scaled_change;p95_abs_scaled_change;mean_median_p10_neighbor_overlap;input_output_hashes","descriptive_no_equivalence_or_biological_claim","authorized_after_mv08zy_prefreeze_commit","closed",FALSE,"same_internal_sample_seed_axis_required",1,21,"gene_topology_v1","sqrt_exact_squared_L2","H0_H1_separate_no_combination","same_124_units_same_seed_7626_unordered_pairs",TRUE,"none",0,0,"mv08zy:internal124:net_migration_effect:20260805:H0","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","238012bb63401f93286a80ab1e016b243e11d6bcb3f6120ee93892903dc8ed17","b0faefce7b9d470a648def63419dcced211585a9913a8e4eebef600468770070"
"mv08zy_comparison_queue_v1",4,"internal124","fit_scope_effect",20260806,"H0","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;nonnegative_scale;relative_stress;left_right_median;median_abs_scaled_change;p95_abs_scaled_change;mean_median_p10_neighbor_overlap;input_output_hashes","descriptive_no_equivalence_or_biological_claim","authorized_after_mv08zy_prefreeze_commit","closed",FALSE,"same_internal_sample_seed_axis_required",3,13,"gene_topology_v1","sqrt_exact_squared_L2","H0_H1_separate_no_combination","same_124_units_same_seed_7626_unordered_pairs",TRUE,"none",0,0,"mv08zy:internal124:fit_scope_effect:20260806:H0","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","3a2bbe689a5cd6b4d3145385b51ef1501b3023bb86afcaa704632442af9a7322","a4347e2f224e04adbd59a56cd18d913f0dcb1fc25152bd0a99e9732f834f2002"
"mv08zy_comparison_queue_v1",5,"internal124","layer_effect",20260806,"H0","allqc_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;nonnegative_scale;relative_stress;left_right_median;median_abs_scaled_change;p95_abs_scaled_change;mean_median_p10_neighbor_overlap;input_output_hashes","descriptive_no_equivalence_or_biological_claim","authorized_after_mv08zy_prefreeze_commit","closed",FALSE,"same_internal_sample_seed_axis_required",13,25,"gene_topology_v1","sqrt_exact_squared_L2","H0_H1_separate_no_combination","same_124_units_same_seed_7626_unordered_pairs",TRUE,"none",0,0,"mv08zy:internal124:layer_effect:20260806:H0","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","a4347e2f224e04adbd59a56cd18d913f0dcb1fc25152bd0a99e9732f834f2002","c6aa31284b9db2cbbf23bbe0a28f34e65a53bd3d28b5b24837e85a252c4ba0af"
"mv08zy_comparison_queue_v1",6,"internal124","net_migration_effect",20260806,"H0","existing_selectedfit_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;nonnegative_scale;relative_stress;left_right_median;median_abs_scaled_change;p95_abs_scaled_change;mean_median_p10_neighbor_overlap;input_output_hashes","descriptive_no_equivalence_or_biological_claim","authorized_after_mv08zy_prefreeze_commit","closed",FALSE,"same_internal_sample_seed_axis_required",3,25,"gene_topology_v1","sqrt_exact_squared_L2","H0_H1_separate_no_combination","same_124_units_same_seed_7626_unordered_pairs",TRUE,"none",0,0,"mv08zy:internal124:net_migration_effect:20260806:H0","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","3a2bbe689a5cd6b4d3145385b51ef1501b3023bb86afcaa704632442af9a7322","c6aa31284b9db2cbbf23bbe0a28f34e65a53bd3d28b5b24837e85a252c4ba0af"
"mv08zy_comparison_queue_v1",7,"internal124","fit_scope_effect",20260807,"H0","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;nonnegative_scale;relative_stress;left_right_median;median_abs_scaled_change;p95_abs_scaled_change;mean_median_p10_neighbor_overlap;input_output_hashes","descriptive_no_equivalence_or_biological_claim","authorized_after_mv08zy_prefreeze_commit","closed",FALSE,"same_internal_sample_seed_axis_required",5,15,"gene_topology_v1","sqrt_exact_squared_L2","H0_H1_separate_no_combination","same_124_units_same_seed_7626_unordered_pairs",TRUE,"none",0,0,"mv08zy:internal124:fit_scope_effect:20260807:H0","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","ce7bcf1e15a3e7cc3b880ed4b967dc4ee24790da41d69fe38182e2dc8ac0b08a","fe761a31cc561ef79930189d65a68441f72b77ae25e277a60544eb18190095f1"
"mv08zy_comparison_queue_v1",8,"internal124","layer_effect",20260807,"H0","allqc_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;nonnegative_scale;relative_stress;left_right_median;median_abs_scaled_change;p95_abs_scaled_change;mean_median_p10_neighbor_overlap;input_output_hashes","descriptive_no_equivalence_or_biological_claim","authorized_after_mv08zy_prefreeze_commit","closed",FALSE,"same_internal_sample_seed_axis_required",15,27,"gene_topology_v1","sqrt_exact_squared_L2","H0_H1_separate_no_combination","same_124_units_same_seed_7626_unordered_pairs",TRUE,"none",0,0,"mv08zy:internal124:layer_effect:20260807:H0","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","fe761a31cc561ef79930189d65a68441f72b77ae25e277a60544eb18190095f1","ef273225bdcc2309360aba2e47544859d245f98d681977ec5479c1f6c1500b28"
"mv08zy_comparison_queue_v1",9,"internal124","net_migration_effect",20260807,"H0","existing_selectedfit_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;nonnegative_scale;relative_stress;left_right_median;median_abs_scaled_change;p95_abs_scaled_change;mean_median_p10_neighbor_overlap;input_output_hashes","descriptive_no_equivalence_or_biological_claim","authorized_after_mv08zy_prefreeze_commit","closed",FALSE,"same_internal_sample_seed_axis_required",5,27,"gene_topology_v1","sqrt_exact_squared_L2","H0_H1_separate_no_combination","same_124_units_same_seed_7626_unordered_pairs",TRUE,"none",0,0,"mv08zy:internal124:net_migration_effect:20260807:H0","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","ce7bcf1e15a3e7cc3b880ed4b967dc4ee24790da41d69fe38182e2dc8ac0b08a","ef273225bdcc2309360aba2e47544859d245f98d681977ec5479c1f6c1500b28"
"mv08zy_comparison_queue_v1",10,"internal124","fit_scope_effect",20260808,"H0","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;nonnegative_scale;relative_stress;left_right_median;median_abs_scaled_change;p95_abs_scaled_change;mean_median_p10_neighbor_overlap;input_output_hashes","descriptive_no_equivalence_or_biological_claim","authorized_after_mv08zy_prefreeze_commit","closed",FALSE,"same_internal_sample_seed_axis_required",7,17,"gene_topology_v1","sqrt_exact_squared_L2","H0_H1_separate_no_combination","same_124_units_same_seed_7626_unordered_pairs",TRUE,"none",0,0,"mv08zy:internal124:fit_scope_effect:20260808:H0","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","5ceed8202960172aa96e76228cf867fbfd4e58de4e477815328d0eb892e62732","c4323b3a15dfd9adda72da55676745f09de99f55f92b5fe815f5c25909a36cef"
"mv08zy_comparison_queue_v1",11,"internal124","layer_effect",20260808,"H0","allqc_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;nonnegative_scale;relative_stress;left_right_median;median_abs_scaled_change;p95_abs_scaled_change;mean_median_p10_neighbor_overlap;input_output_hashes","descriptive_no_equivalence_or_biological_claim","authorized_after_mv08zy_prefreeze_commit","closed",FALSE,"same_internal_sample_seed_axis_required",17,29,"gene_topology_v1","sqrt_exact_squared_L2","H0_H1_separate_no_combination","same_124_units_same_seed_7626_unordered_pairs",TRUE,"none",0,0,"mv08zy:internal124:layer_effect:20260808:H0","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","c4323b3a15dfd9adda72da55676745f09de99f55f92b5fe815f5c25909a36cef","9f668f805e9b1f4df2e1dfea3804fb31679ff123f5f18aca345be571dce8b075"
"mv08zy_comparison_queue_v1",12,"internal124","net_migration_effect",20260808,"H0","existing_selectedfit_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;nonnegative_scale;relative_stress;left_right_median;median_abs_scaled_change;p95_abs_scaled_change;mean_median_p10_neighbor_overlap;input_output_hashes","descriptive_no_equivalence_or_biological_claim","authorized_after_mv08zy_prefreeze_commit","closed",FALSE,"same_internal_sample_seed_axis_required",7,29,"gene_topology_v1","sqrt_exact_squared_L2","H0_H1_separate_no_combination","same_124_units_same_seed_7626_unordered_pairs",TRUE,"none",0,0,"mv08zy:internal124:net_migration_effect:20260808:H0","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","5ceed8202960172aa96e76228cf867fbfd4e58de4e477815328d0eb892e62732","9f668f805e9b1f4df2e1dfea3804fb31679ff123f5f18aca345be571dce8b075"
"mv08zy_comparison_queue_v1",13,"internal124","fit_scope_effect",20260809,"H0","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;nonnegative_scale;relative_stress;left_right_median;median_abs_scaled_change;p95_abs_scaled_change;mean_median_p10_neighbor_overlap;input_output_hashes","descriptive_no_equivalence_or_biological_claim","authorized_after_mv08zy_prefreeze_commit","closed",FALSE,"same_internal_sample_seed_axis_required",9,19,"gene_topology_v1","sqrt_exact_squared_L2","H0_H1_separate_no_combination","same_124_units_same_seed_7626_unordered_pairs",TRUE,"none",0,0,"mv08zy:internal124:fit_scope_effect:20260809:H0","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","513bf7635e65642140a02d0cd5181548671fe9851d6a8f9134f38c55b0ab0377","4ff732abb82fbe059e57f16d9c05cb2924e798dd9abeabaf58adb6b1270dce9a"
