"contract_id","comparison_order","dataset_scope","contrast_id","seed","homology_dimension","units","unordered_pairs","maximum_summary_numeric_difference","maximum_neighbor_difference","pair_axis_sha256","independently_recomputed"
"mv08zz_recomputation_v1",1,"internal124","fit_scope_effect",20260805,"H0",124,7626,4.88498130835069e-15,3.33066907387547e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",2,"internal124","layer_effect",20260805,"H0",124,7626,4.88498130835069e-15,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",3,"internal124","net_migration_effect",20260805,"H0",124,7626,4.88498130835069e-15,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",4,"internal124","fit_scope_effect",20260806,"H0",124,7626,4.88498130835069e-15,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",5,"internal124","layer_effect",20260806,"H0",124,7626,4.88498130835069e-15,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",6,"internal124","net_migration_effect",20260806,"H0",124,7626,4.88498130835069e-15,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",7,"internal124","fit_scope_effect",20260807,"H0",124,7626,3.33066907387547e-15,3.33066907387547e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",8,"internal124","layer_effect",20260807,"H0",124,7626,4.88498130835069e-15,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",9,"internal124","net_migration_effect",20260807,"H0",124,7626,4.88498130835069e-15,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",10,"internal124","fit_scope_effect",20260808,"H0",124,7626,4.88498130835069e-15,3.33066907387547e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",11,"internal124","layer_effect",20260808,"H0",124,7626,4.88498130835069e-15,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",12,"internal124","net_migration_effect",20260808,"H0",124,7626,4.88498130835069e-15,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",13,"internal124","fit_scope_effect",20260809,"H0",124,7626,4.88498130835069e-15,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",14,"internal124","layer_effect",20260809,"H0",124,7626,4.88498130835069e-15,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
"mv08zz_recomputation_v1",15,"internal124","net_migration_effect",20260809,"H0",124,7626,1.11022302462516e-15,4.44089209850063e-16,"9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
