"comparison_order","dataset_scope","contrast_id","seed","homology_dimension","metric","value"
33,"external8","common475_net_migration_effect",20260805,"H0","left_median_distance",0.599548570168499
33,"external8","common475_net_migration_effect",20260805,"H0","mean_neighbor_jaccard",1
33,"external8","common475_net_migration_effect",20260805,"H0","median_abs_median_scaled_change",0.130724842719692
33,"external8","common475_net_migration_effect",20260805,"H0","median_neighbor_jaccard",1
33,"external8","common475_net_migration_effect",20260805,"H0","nonnegative_scale",0.820311359248076
33,"external8","common475_net_migration_effect",20260805,"H0","p10_neighbor_jaccard",1
33,"external8","common475_net_migration_effect",20260805,"H0","p95_abs_median_scaled_change",0.364395316297645
33,"external8","common475_net_migration_effect",20260805,"H0","pearson",0.930524586430905
33,"external8","common475_net_migration_effect",20260805,"H0","relative_stress",0.179829866060721
33,"external8","common475_net_migration_effect",20260805,"H0","right_median_distance",0.526961787259848
33,"external8","common475_net_migration_effect",20260805,"H0","spearman",0.93431855500821
38,"external8","common475_net_migration_effect",20260805,"H1","left_median_distance",0.0168592738344671
38,"external8","common475_net_migration_effect",20260805,"H1","mean_neighbor_jaccard",1
38,"external8","common475_net_migration_effect",20260805,"H1","median_abs_median_scaled_change",0.143718639056266
38,"external8","common475_net_migration_effect",20260805,"H1","median_neighbor_jaccard",1
38,"external8","common475_net_migration_effect",20260805,"H1","nonnegative_scale",0.960198717344075
38,"external8","common475_net_migration_effect",20260805,"H1","p10_neighbor_jaccard",1
38,"external8","common475_net_migration_effect",20260805,"H1","p95_abs_median_scaled_change",0.251467872281064
38,"external8","common475_net_migration_effect",20260805,"H1","pearson",0.574790253859865
38,"external8","common475_net_migration_effect",20260805,"H1","relative_stress",0.154174791216392
38,"external8","common475_net_migration_effect",20260805,"H1","right_median_distance",0.0163643429959806
38,"external8","common475_net_migration_effect",20260805,"H1","spearman",0.625615763546798
35,"external8","exact500_total_migration_effect",20260805,"H0","left_median_distance",0.599548570168499
35,"external8","exact500_total_migration_effect",20260805,"H0","mean_neighbor_jaccard",1
35,"external8","exact500_total_migration_effect",20260805,"H0","median_abs_median_scaled_change",0.153088881852541
35,"external8","exact500_total_migration_effect",20260805,"H0","median_neighbor_jaccard",1
35,"external8","exact500_total_migration_effect",20260805,"H0","nonnegative_scale",0.828276677803977
35,"external8","exact500_total_migration_effect",20260805,"H0","p10_neighbor_jaccard",1
35,"external8","exact500_total_migration_effect",20260805,"H0","p95_abs_median_scaled_change",0.373618830677099
35,"external8","exact500_total_migration_effect",20260805,"H0","pearson",0.929678995213666
35,"external8","exact500_total_migration_effect",20260805,"H0","relative_stress",0.180925261988355
35,"external8","exact500_total_migration_effect",20260805,"H0","right_median_distance",0.520601320251066
35,"external8","exact500_total_migration_effect",20260805,"H0","spearman",0.928297755883963
40,"external8","exact500_total_migration_effect",20260805,"H1","left_median_distance",0.0168592738344671
40,"external8","exact500_total_migration_effect",20260805,"H1","mean_neighbor_jaccard",1
40,"external8","exact500_total_migration_effect",20260805,"H1","median_abs_median_scaled_change",0.15779364335527
40,"external8","exact500_total_migration_effect",20260805,"H1","median_neighbor_jaccard",1
40,"external8","exact500_total_migration_effect",20260805,"H1","nonnegative_scale",0.922753562271111
40,"external8","exact500_total_migration_effect",20260805,"H1","p10_neighbor_jaccard",1
40,"external8","exact500_total_migration_effect",20260805,"H1","p95_abs_median_scaled_change",0.292484220190999
40,"external8","exact500_total_migration_effect",20260805,"H1","pearson",0.471546553180781
40,"external8","exact500_total_migration_effect",20260805,"H1","relative_stress",0.162519344447117
40,"external8","exact500_total_migration_effect",20260805,"H1","right_median_distance",0.0157066970171895
40,"external8","exact500_total_migration_effect",20260805,"H1","spearman",0.555008210180624
31,"external8","fit_scope_effect",20260805,"H0","left_median_distance",0.599548570168499
31,"external8","fit_scope_effect",20260805,"H0","mean_neighbor_jaccard",1
31,"external8","fit_scope_effect",20260805,"H0","median_abs_median_scaled_change",0.0411226572357249
31,"external8","fit_scope_effect",20260805,"H0","median_neighbor_jaccard",1
31,"external8","fit_scope_effect",20260805,"H0","nonnegative_scale",1.06182378424986
31,"external8","fit_scope_effect",20260805,"H0","p10_neighbor_jaccard",1
31,"external8","fit_scope_effect",20260805,"H0","p95_abs_median_scaled_change",0.0973023665384767
31,"external8","fit_scope_effect",20260805,"H0","pearson",0.997935920955993
31,"external8","fit_scope_effect",20260805,"H0","relative_stress",0.0326247215457561
31,"external8","fit_scope_effect",20260805,"H0","right_median_distance",0.659732877787076
31,"external8","fit_scope_effect",20260805,"H0","spearman",0.99671592775041
36,"external8","fit_scope_effect",20260805,"H1","left_median_distance",0.0168592738344671
36,"external8","fit_scope_effect",20260805,"H1","mean_neighbor_jaccard",1
36,"external8","fit_scope_effect",20260805,"H1","median_abs_median_scaled_change",0.0663890880964844
36,"external8","fit_scope_effect",20260805,"H1","median_neighbor_jaccard",1
36,"external8","fit_scope_effect",20260805,"H1","nonnegative_scale",0.999585812296361
36,"external8","fit_scope_effect",20260805,"H1","p10_neighbor_jaccard",1
36,"external8","fit_scope_effect",20260805,"H1","p95_abs_median_scaled_change",0.118742121611942
36,"external8","fit_scope_effect",20260805,"H1","pearson",0.923093546695067
36,"external8","fit_scope_effect",20260805,"H1","relative_stress",0.0732246694991218
36,"external8","fit_scope_effect",20260805,"H1","right_median_distance",0.0172564994464479
36,"external8","fit_scope_effect",20260805,"H1","spearman",0.88943623426382
32,"external8","layer_effect",20260805,"H0","left_median_distance",0.659732877787076
32,"external8","layer_effect",20260805,"H0","mean_neighbor_jaccard",1
32,"external8","layer_effect",20260805,"H0","median_abs_median_scaled_change",0.142748141004884
32,"external8","layer_effect",20260805,"H0","median_neighbor_jaccard",1
32,"external8","layer_effect",20260805,"H0","nonnegative_scale",0.770600227809169
32,"external8","layer_effect",20260805,"H0","p10_neighbor_jaccard",1
32,"external8","layer_effect",20260805,"H0","p95_abs_median_scaled_change",0.382593876855197
32,"external8","layer_effect",20260805,"H0","pearson",0.924058584152537
32,"external8","layer_effect",20260805,"H0","relative_stress",0.19023600148359
32,"external8","layer_effect",20260805,"H0","right_median_distance",0.526961787259848
32,"external8","layer_effect",20260805,"H0","spearman",0.933771209633279
37,"external8","layer_effect",20260805,"H1","left_median_distance",0.0172564994464479
37,"external8","layer_effect",20260805,"H1","mean_neighbor_jaccard",1
37,"external8","layer_effect",20260805,"H1","median_abs_median_scaled_change",0.153572447828132
37,"external8","layer_effect",20260805,"H1","median_neighbor_jaccard",1
37,"external8","layer_effect",20260805,"H1","nonnegative_scale",0.955091422520267
37,"external8","layer_effect",20260805,"H1","p10_neighbor_jaccard",1
37,"external8","layer_effect",20260805,"H1","p95_abs_median_scaled_change",0.318339169573732
37,"external8","layer_effect",20260805,"H1","pearson",0.516460639202503
37,"external8","layer_effect",20260805,"H1","relative_stress",0.17240895052874
37,"external8","layer_effect",20260805,"H1","right_median_distance",0.0163643429959806
37,"external8","layer_effect",20260805,"H1","spearman",0.509578544061303
34,"external8","residual_panel_effect",20260805,"H0","left_median_distance",0.526961787259848
34,"external8","residual_panel_effect",20260805,"H0","mean_neighbor_jaccard",1
34,"external8","residual_panel_effect",20260805,"H0","median_abs_median_scaled_change",0.0270935110549929
34,"external8","residual_panel_effect",20260805,"H0","median_neighbor_jaccard",1
34,"external8","residual_panel_effect",20260805,"H0","nonnegative_scale",1.00968085884992
34,"external8","residual_panel_effect",20260805,"H0","p10_neighbor_jaccard",1
34,"external8","residual_panel_effect",20260805,"H0","p95_abs_median_scaled_change",0.0619245683214754
34,"external8","residual_panel_effect",20260805,"H0","pearson",0.998959939023002
34,"external8","residual_panel_effect",20260805,"H0","relative_stress",0.0215940595058738
34,"external8","residual_panel_effect",20260805,"H0","right_median_distance",0.520601320251066
34,"external8","residual_panel_effect",20260805,"H0","spearman",0.994526546250684
39,"external8","residual_panel_effect",20260805,"H1","left_median_distance",0.0163643429959806
39,"external8","residual_panel_effect",20260805,"H1","mean_neighbor_jaccard",1
39,"external8","residual_panel_effect",20260805,"H1","median_abs_median_scaled_change",0.0308298632098137
39,"external8","residual_panel_effect",20260805,"H1","median_neighbor_jaccard",1
39,"external8","residual_panel_effect",20260805,"H1","nonnegative_scale",0.961288663549555
39,"external8","residual_panel_effect",20260805,"H1","p10_neighbor_jaccard",1
39,"external8","residual_panel_effect",20260805,"H1","p95_abs_median_scaled_change",0.0863836572951712
39,"external8","residual_panel_effect",20260805,"H1","pearson",0.964460752773126
39,"external8","residual_panel_effect",20260805,"H1","relative_stress",0.0459718235401741
39,"external8","residual_panel_effect",20260805,"H1","right_median_distance",0.0157066970171895
39,"external8","residual_panel_effect",20260805,"H1","spearman",0.9584017515052
1,"internal124","fit_scope_effect",20260805,"H0","left_median_distance",1.02735207056916
1,"internal124","fit_scope_effect",20260805,"H0","mean_neighbor_jaccard",0.898582600195503
1,"internal124","fit_scope_effect",20260805,"H0","median_abs_median_scaled_change",0.014295182536638
1,"internal124","fit_scope_effect",20260805,"H0","median_neighbor_jaccard",1
1,"internal124","fit_scope_effect",20260805,"H0","nonnegative_scale",1.00341426282813
1,"internal124","fit_scope_effect",20260805,"H0","p10_neighbor_jaccard",0.818181818181818
1,"internal124","fit_scope_effect",20260805,"H0","p95_abs_median_scaled_change",0.0597301195291004
1,"internal124","fit_scope_effect",20260805,"H0","pearson",0.99947177389428
1,"internal124","fit_scope_effect",20260805,"H0","relative_stress",0.0188062767191418
1,"internal124","fit_scope_effect",20260805,"H0","right_median_distance",1.02826616889684
1,"internal124","fit_scope_effect",20260805,"H0","spearman",0.999263104636464
4,"internal124","fit_scope_effect",20260806,"H0","left_median_distance",1.01472840440442
4,"internal124","fit_scope_effect",20260806,"H0","mean_neighbor_jaccard",0.908056996766674
4,"internal124","fit_scope_effect",20260806,"H0","median_abs_median_scaled_change",0.0136277124679226
4,"internal124","fit_scope_effect",20260806,"H0","median_neighbor_jaccard",1
4,"internal124","fit_scope_effect",20260806,"H0","nonnegative_scale",1.00615015193493
4,"internal124","fit_scope_effect",20260806,"H0","p10_neighbor_jaccard",0.818181818181818
4,"internal124","fit_scope_effect",20260806,"H0","p95_abs_median_scaled_change",0.0582484558937617
4,"internal124","fit_scope_effect",20260806,"H0","pearson",0.999665261815912
4,"internal124","fit_scope_effect",20260806,"H0","relative_stress",0.0151208345724683
4,"internal124","fit_scope_effect",20260806,"H0","right_median_distance",1.01388653649772
4,"internal124","fit_scope_effect",20260806,"H0","spearman",0.999442180466132
7,"internal124","fit_scope_effect",20260807,"H0","left_median_distance",1.0387078636052
7,"internal124","fit_scope_effect",20260807,"H0","mean_neighbor_jaccard",0.901515151515151
7,"internal124","fit_scope_effect",20260807,"H0","median_abs_median_scaled_change",0.013252656608543
7,"internal124","fit_scope_effect",20260807,"H0","median_neighbor_jaccard",0.818181818181818
7,"internal124","fit_scope_effect",20260807,"H0","nonnegative_scale",1.00486323616865
7,"internal124","fit_scope_effect",20260807,"H0","p10_neighbor_jaccard",0.818181818181818
7,"internal124","fit_scope_effect",20260807,"H0","p95_abs_median_scaled_change",0.0474089541315475
7,"internal124","fit_scope_effect",20260807,"H0","pearson",0.999693999374131
7,"internal124","fit_scope_effect",20260807,"H0","relative_stress",0.0144987236211457
7,"internal124","fit_scope_effect",20260807,"H0","right_median_distance",1.04237609404409
7,"internal124","fit_scope_effect",20260807,"H0","spearman",0.999481012592489
10,"internal124","fit_scope_effect",20260808,"H0","left_median_distance",1.04114569111203
10,"internal124","fit_scope_effect",20260808,"H0","mean_neighbor_jaccard",0.901759530791789
10,"internal124","fit_scope_effect",20260808,"H0","median_abs_median_scaled_change",0.0139585051539264
10,"internal124","fit_scope_effect",20260808,"H0","median_neighbor_jaccard",0.909090909090909
10,"internal124","fit_scope_effect",20260808,"H0","nonnegative_scale",1.00265479668395
10,"internal124","fit_scope_effect",20260808,"H0","p10_neighbor_jaccard",0.818181818181818
10,"internal124","fit_scope_effect",20260808,"H0","p95_abs_median_scaled_change",0.0519350407336084
10,"internal124","fit_scope_effect",20260808,"H0","pearson",0.999675058937017
10,"internal124","fit_scope_effect",20260808,"H0","relative_stress",0.0149221872355243
10,"internal124","fit_scope_effect",20260808,"H0","right_median_distance",1.03751097952475
10,"internal124","fit_scope_effect",20260808,"H0","spearman",0.999449033612911
13,"internal124","fit_scope_effect",20260809,"H0","left_median_distance",1.01349644468529
13,"internal124","fit_scope_effect",20260809,"H0","mean_neighbor_jaccard",0.916854650725618
