"contract_id","sensitivity_order","comparison_order","comparison_id","units","unordered_pairs","pair_axis_sha256","left_payload_set_sha256","right_payload_set_sha256","left_binding_passed","right_binding_passed","pair_axis_passed"
"mv09h_source_verification_v1",1,31,"mv08zy:external8:fit_scope_effect:20260805:H0",8,28,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","c59d99830a42af6bd6ab25e518d8cf30d745541106d1c9a6bb162aeefaa466ed","6fd403f796654449a06e534dd1a5dbb8ee7e8bc5d0dc8f27b8d68e71c37aa8f8",TRUE,TRUE,TRUE
"mv09h_source_verification_v1",2,32,"mv08zy:external8:layer_effect:20260805:H0",8,28,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","6fd403f796654449a06e534dd1a5dbb8ee7e8bc5d0dc8f27b8d68e71c37aa8f8","189772a8a35d5cb6c48d64dd735621c384350c563bf9c6d9cfb23c9bb596a0cb",TRUE,TRUE,TRUE
"mv09h_source_verification_v1",3,33,"mv08zy:external8:common475_net_migration_effect:20260805:H0",8,28,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","c59d99830a42af6bd6ab25e518d8cf30d745541106d1c9a6bb162aeefaa466ed","189772a8a35d5cb6c48d64dd735621c384350c563bf9c6d9cfb23c9bb596a0cb",TRUE,TRUE,TRUE
"mv09h_source_verification_v1",4,34,"mv08zy:external8:residual_panel_effect:20260805:H0",8,28,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","189772a8a35d5cb6c48d64dd735621c384350c563bf9c6d9cfb23c9bb596a0cb","45ac35e2f3260df3c88b1b094f9a9581c624b8db3f491335aa37529eb769b658",TRUE,TRUE,TRUE
"mv09h_source_verification_v1",5,35,"mv08zy:external8:exact500_total_migration_effect:20260805:H0",8,28,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","c59d99830a42af6bd6ab25e518d8cf30d745541106d1c9a6bb162aeefaa466ed","45ac35e2f3260df3c88b1b094f9a9581c624b8db3f491335aa37529eb769b658",TRUE,TRUE,TRUE
"mv09h_source_verification_v1",6,36,"mv08zy:external8:fit_scope_effect:20260805:H1",8,28,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","623a1bc38ac8f6326643f1e60976fc300c580a6c516b867b1aaf560ae35e22f7","a3c35eef190b5abb2c77d621e229cc7170391e020eae85ea83524ed3fd29d92a",TRUE,TRUE,TRUE
"mv09h_source_verification_v1",7,37,"mv08zy:external8:layer_effect:20260805:H1",8,28,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","a3c35eef190b5abb2c77d621e229cc7170391e020eae85ea83524ed3fd29d92a","2f75388ba6395fbaaba91226612f3a75095faec3b03936b3e1b0e27ebf55585e",TRUE,TRUE,TRUE
"mv09h_source_verification_v1",8,38,"mv08zy:external8:common475_net_migration_effect:20260805:H1",8,28,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","623a1bc38ac8f6326643f1e60976fc300c580a6c516b867b1aaf560ae35e22f7","2f75388ba6395fbaaba91226612f3a75095faec3b03936b3e1b0e27ebf55585e",TRUE,TRUE,TRUE
"mv09h_source_verification_v1",9,39,"mv08zy:external8:residual_panel_effect:20260805:H1",8,28,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","2f75388ba6395fbaaba91226612f3a75095faec3b03936b3e1b0e27ebf55585e","4127206a49aab5a5a7e204d6c6fed9ab9988719af2101302ee4234cbdcdd3260",TRUE,TRUE,TRUE
"mv09h_source_verification_v1",10,40,"mv08zy:external8:exact500_total_migration_effect:20260805:H1",8,28,"3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","623a1bc38ac8f6326643f1e60976fc300c580a6c516b867b1aaf560ae35e22f7","4127206a49aab5a5a7e204d6c6fed9ab9988719af2101302ee4234cbdcdd3260",TRUE,TRUE,TRUE
