"execution_head","sensitivity_order","comparison_order","contrast_id","seed","homology_dimension","left_stack","right_stack","left_payload_set_sha256","right_payload_set_sha256","pair_axis_sha256","contract_id","comparison_id","units","unordered_pairs","k","mean_neighbor_jaccard","median_neighbor_jaccard","p10_neighbor_jaccard","replication_units","interpretation","outcome_label_state","biological_outcomes_computed"
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",1,31,"fit_scope_effect",20260805,"H0","same_axis_selectedfit_data_common475","allqc_data_common475","c59d99830a42af6bd6ab25e518d8cf30d745541106d1c9a6bb162aeefaa466ed","6fd403f796654449a06e534dd1a5dbb8ee7e8bc5d0dc8f27b8d68e71c37aa8f8","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:fit_scope_effect:20260805:H0",8,28,2,0.916666666666667,1,0.8,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",1,31,"fit_scope_effect",20260805,"H0","same_axis_selectedfit_data_common475","allqc_data_common475","c59d99830a42af6bd6ab25e518d8cf30d745541106d1c9a6bb162aeefaa466ed","6fd403f796654449a06e534dd1a5dbb8ee7e8bc5d0dc8f27b8d68e71c37aa8f8","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:fit_scope_effect:20260805:H0",8,28,3,0.9375,1,0.85,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",2,32,"layer_effect",20260805,"H0","allqc_data_common475","allqc_residual_common475","6fd403f796654449a06e534dd1a5dbb8ee7e8bc5d0dc8f27b8d68e71c37aa8f8","189772a8a35d5cb6c48d64dd735621c384350c563bf9c6d9cfb23c9bb596a0cb","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:layer_effect:20260805:H0",8,28,2,0.625,0.666666666666667,0.233333333333333,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",2,32,"layer_effect",20260805,"H0","allqc_data_common475","allqc_residual_common475","6fd403f796654449a06e534dd1a5dbb8ee7e8bc5d0dc8f27b8d68e71c37aa8f8","189772a8a35d5cb6c48d64dd735621c384350c563bf9c6d9cfb23c9bb596a0cb","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:layer_effect:20260805:H0",8,28,3,0.9375,1,0.85,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",3,33,"common475_net_migration_effect",20260805,"H0","same_axis_selectedfit_data_common475","allqc_residual_common475","c59d99830a42af6bd6ab25e518d8cf30d745541106d1c9a6bb162aeefaa466ed","189772a8a35d5cb6c48d64dd735621c384350c563bf9c6d9cfb23c9bb596a0cb","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:common475_net_migration_effect:20260805:H0",8,28,2,0.708333333333333,1,0.233333333333333,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",3,33,"common475_net_migration_effect",20260805,"H0","same_axis_selectedfit_data_common475","allqc_residual_common475","c59d99830a42af6bd6ab25e518d8cf30d745541106d1c9a6bb162aeefaa466ed","189772a8a35d5cb6c48d64dd735621c384350c563bf9c6d9cfb23c9bb596a0cb","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:common475_net_migration_effect:20260805:H0",8,28,3,0.875,1,0.5,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",4,34,"residual_panel_effect",20260805,"H0","allqc_residual_common475","allqc_residual_exact500","189772a8a35d5cb6c48d64dd735621c384350c563bf9c6d9cfb23c9bb596a0cb","45ac35e2f3260df3c88b1b094f9a9581c624b8db3f491335aa37529eb769b658","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:residual_panel_effect:20260805:H0",8,28,2,0.916666666666667,1,0.8,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",4,34,"residual_panel_effect",20260805,"H0","allqc_residual_common475","allqc_residual_exact500","189772a8a35d5cb6c48d64dd735621c384350c563bf9c6d9cfb23c9bb596a0cb","45ac35e2f3260df3c88b1b094f9a9581c624b8db3f491335aa37529eb769b658","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:residual_panel_effect:20260805:H0",8,28,3,1,1,1,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",5,35,"exact500_total_migration_effect",20260805,"H0","same_axis_selectedfit_data_common475","allqc_residual_exact500","c59d99830a42af6bd6ab25e518d8cf30d745541106d1c9a6bb162aeefaa466ed","45ac35e2f3260df3c88b1b094f9a9581c624b8db3f491335aa37529eb769b658","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:exact500_total_migration_effect:20260805:H0",8,28,2,0.708333333333333,1,0.233333333333333,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
"34eba1ee2ced85d1ded60307c041a34ff2c5c853",5,35,"exact500_total_migration_effect",20260805,"H0","same_axis_selectedfit_data_common475","allqc_residual_exact500","c59d99830a42af6bd6ab25e518d8cf30d745541106d1c9a6bb162aeefaa466ed","45ac35e2f3260df3c88b1b094f9a9581c624b8db3f491335aa37529eb769b658","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e","mv09h_external_neighbor_summary_v1","mv08zy:external8:exact500_total_migration_effect:20260805:H0",8,28,3,0.875,1,0.5,1,"descriptive_sensitivity_no_equivalence_or_biology","closed",FALSE
