"contract_id","catalog_order","stack_id","dataset_scope","representation_id","panel_id","seed","view_kind","homology_dimension","units","unordered_pairs","source_stage","source_group_id","source_group_order","available","corrective_stage","source_file_count","source_bytes","payload_set_sha256","pair_axis_sha256","source_rehashed","execution_order","elapsed_cap_seconds","rss_cap_bytes","aggregate_elapsed_cap_seconds","private_storage_cap_bytes","workers","retries","outcome_label_state","biological_outcomes_computed"
"mv08zv_distance_stack_catalog_v1",1,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260805,"gene_topology_v1","H0",124,7626,"MV7-H","mv07h_landscape_group_v1:8449cfab9938e66c38e10003592d12523adb82659812f66442f36abd187a3304",6,TRUE,FALSE,1,4497453,"238012bb63401f93286a80ab1e016b243e11d6bcb3f6120ee93892903dc8ed17","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,1,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",2,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260805,"gene_topology_v1","H1",124,7626,"MV7-H","mv07h_landscape_group_v1:16e491af8c362f41ade01bfa8bd2091a232c3edfe1eb0c57997454b74e31405f",5,TRUE,FALSE,1,4556944,"38200e588b082bfbacfc486f31865a2c0e163b0a1e122d5313806a323e134af6","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,2,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",3,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260806,"gene_topology_v1","H0",124,7626,"MV7-H","mv07h_landscape_group_v1:68ac77b1977714fd0115477ef0a0bb89cdba0b6be7d34a871e4f78799a12a55d",7,TRUE,FALSE,1,4497535,"3a2bbe689a5cd6b4d3145385b51ef1501b3023bb86afcaa704632442af9a7322","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,3,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",4,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260806,"gene_topology_v1","H1",124,7626,"MV7-H","mv07h_landscape_group_v1:a2306ca6cb0189a97a60562c521d3f322d92ed9dd81f7dd755676dbde6694dd6",2,TRUE,FALSE,1,4556640,"2e768b927a5e180ca8e23877fdc273649f7fadb7a4f85ab1ebd094a6e4004eb7","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,4,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",5,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260807,"gene_topology_v1","H0",124,7626,"MV7-H","mv07h_landscape_group_v1:5b8f11e17d2af36b80760b8cf389eac13bc82718b109226887d6cfeb06cfa264",8,TRUE,FALSE,1,4497313,"ce7bcf1e15a3e7cc3b880ed4b967dc4ee24790da41d69fe38182e2dc8ac0b08a","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,5,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",6,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260807,"gene_topology_v1","H1",124,7626,"MV7-H","mv07h_landscape_group_v1:eb7602ef5b12f26de930bf1af58d988e216d373f2881b593c68e3ce3e44e94aa",1,TRUE,FALSE,1,4556982,"7bae8549067be74526c16bb7848ea42746d4929fb3d3dd996a8ad174c935661c","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,6,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",7,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260808,"gene_topology_v1","H0",124,7626,"MV7-H","mv07h_landscape_group_v1:5a1334a1565cce9551232ca0c4ac9516b81440c0363b9ca8b318d72636b832a8",9,TRUE,FALSE,1,4497344,"5ceed8202960172aa96e76228cf867fbfd4e58de4e477815328d0eb892e62732","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,7,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",8,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260808,"gene_topology_v1","H1",124,7626,"MV7-H","mv07h_landscape_group_v1:39092305d66dc22a752741094b92dc4531f3b8a41c02a80f1358adaab9bb497b",3,TRUE,FALSE,1,4556698,"b4fe5107de9d51f3069be57caf8e966b7e56f8e34500dd079d5764e8981eb9c4","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,8,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",9,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260809,"gene_topology_v1","H0",124,7626,"MV7-H","mv07h_landscape_group_v1:d3f8b488bb4137befaab0746a03d8544c84e2e9af3ba8485ec6750269801d197",10,TRUE,FALSE,1,4497555,"513bf7635e65642140a02d0cd5181548671fe9851d6a8f9134f38c55b0ab0377","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,9,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",10,"existing_selectedfit_data_exact500","internal124","existing_selectedfit_data_exact500","exact500",20260809,"gene_topology_v1","H1",124,7626,"MV7-H","mv07h_landscape_group_v1:ad5a7bf6538d14452e4daa833e200549e053ed595fe904a76ec57d2f03842413",4,TRUE,FALSE,1,4557306,"1a672d34d9ce89052ae82d598650e1000ace69e4a09372ffda1b248aa458c2be","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,10,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",11,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_01",1,TRUE,FALSE,31,7305778,"9881c938c0aa37f404a81dd2889bd470cdd7f3dab8850e92f9cd0aecb96b08bd","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,11,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",12,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_11",11,TRUE,FALSE,31,7372676,"c137f95a58f21525e00e339e610f7ed7d7d68b731e0c8ad7b84638dc78e5cfb7","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,12,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",13,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260806,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_03",3,TRUE,FALSE,31,7305985,"a4347e2f224e04adbd59a56cd18d913f0dcb1fc25152bd0a99e9732f834f2002","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,13,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",14,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260806,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_13",13,TRUE,FALSE,31,7372342,"8e40b1a07cd3fa694912ddaf66af997db22fa0fc1d76441dcec913182ba6f2f8","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,14,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",15,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260807,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_05",5,TRUE,FALSE,31,7305682,"fe761a31cc561ef79930189d65a68441f72b77ae25e277a60544eb18190095f1","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,15,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",16,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260807,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_15",15,TRUE,FALSE,31,7372910,"f5526d5ac40d350de1b7352e358bdb0e1ced83ebd87233b26d0b953daddb8c7f","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,16,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",17,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260808,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_07",7,TRUE,FALSE,31,7305711,"c4323b3a15dfd9adda72da55676745f09de99f55f92b5fe815f5c25909a36cef","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,17,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",18,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260808,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_17",17,TRUE,FALSE,31,7372443,"862181513b926efcc4b6f6b574bfcf2901cdde60747f00067ef47d860d862b43","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,18,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",19,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260809,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_09",9,TRUE,FALSE,31,7305903,"4ff732abb82fbe059e57f16d9c05cb2924e798dd9abeabaf58adb6b1270dce9a","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,19,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",20,"allqc_data_exact500","internal124","sct_data_all_qc_fit_selected384","exact500",20260809,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_19",19,TRUE,FALSE,31,7372956,"724d1252bf1911cb361aad96629edd7fd1808caf5b34b41a02693576578d6a89","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,20,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",21,"allqc_residual_exact500","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_02",2,TRUE,FALSE,31,7579645,"b0faefce7b9d470a648def63419dcced211585a9913a8e4eebef600468770070","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,21,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",23,"allqc_residual_exact500","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"gene_topology_v1","H1",124,7626,"MV8-ZU","mv08zu_group_12",12,TRUE,FALSE,31,7644944,"6e22dee12143adfa9b991238e1193da1f44e0aa9361572211bbbdd44220d1296","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,22,1800,4294967296,14400,536870912,1,0,"closed",FALSE
"mv08zv_distance_stack_catalog_v1",25,"allqc_residual_exact500","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"gene_topology_v1","H0",124,7626,"MV8-ZU","mv08zu_group_04",4,TRUE,FALSE,31,7579648,"c6aa31284b9db2cbbf23bbe0a28f34e65a53bd3d28b5b24837e85a252c4ba0af","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE,23,1800,4294967296,14400,536870912,1,0,"closed",FALSE
