"execution_head","catalog_order","stack_id","representation_id","panel_id","seed","homology_dimension","payload_set_sha256","pair_axis_sha256","contract_id","method_id","k","mean_silhouette","median_silhouette","minimum_silhouette","negative_silhouette_fraction","minimum_cluster_size","maximum_cluster_size","singleton_clusters","outcome_label_state","biological_outcomes_computed"
"06c0dd6c129d8567651081156272cfe972e52c7d",32,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"H1","f0e5f26e8056291af5a07172ead9f6a4fb69cbe0ef8cf4555d925088d24c16f2","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",2,0.33214657629777,0.373988996986093,-0.0540080468143052,0.032258064516129,44,80,0,"closed",FALSE
"06c0dd6c129d8567651081156272cfe972e52c7d",32,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"H1","f0e5f26e8056291af5a07172ead9f6a4fb69cbe0ef8cf4555d925088d24c16f2","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",3,0.328574804569775,0.352706450157461,-0.081703253218522,0.00806451612903226,27,65,0,"closed",FALSE
"06c0dd6c129d8567651081156272cfe972e52c7d",32,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"H1","f0e5f26e8056291af5a07172ead9f6a4fb69cbe0ef8cf4555d925088d24c16f2","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",4,0.285384012653397,0.330440507708815,-0.157429286656803,0.0645161290322581,16,60,0,"closed",FALSE
"06c0dd6c129d8567651081156272cfe972e52c7d",32,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"H1","f0e5f26e8056291af5a07172ead9f6a4fb69cbe0ef8cf4555d925088d24c16f2","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",5,0.22339526424155,0.231618777396749,-0.0654759422845674,0.0483870967741935,16,36,0,"closed",FALSE
"06c0dd6c129d8567651081156272cfe972e52c7d",32,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"H1","f0e5f26e8056291af5a07172ead9f6a4fb69cbe0ef8cf4555d925088d24c16f2","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",6,0.208650897092181,0.226054733219312,-0.0989178831646349,0.0725806451612903,12,30,0,"closed",FALSE
"06c0dd6c129d8567651081156272cfe972e52c7d",32,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"H1","f0e5f26e8056291af5a07172ead9f6a4fb69cbe0ef8cf4555d925088d24c16f2","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",7,0.216528731119162,0.228887417990283,-0.092604165683677,0.0645161290322581,10,30,0,"closed",FALSE
"06c0dd6c129d8567651081156272cfe972e52c7d",32,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"H1","f0e5f26e8056291af5a07172ead9f6a4fb69cbe0ef8cf4555d925088d24c16f2","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",8,0.185755938094837,0.176879882027393,-0.140239954902769,0.0967741935483871,6,30,0,"closed",FALSE
"06c0dd6c129d8567651081156272cfe972e52c7d",32,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"H1","f0e5f26e8056291af5a07172ead9f6a4fb69cbe0ef8cf4555d925088d24c16f2","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",9,0.146661611759813,0.126609704316698,-0.144447070227757,0.153225806451613,6,22,0,"closed",FALSE
"06c0dd6c129d8567651081156272cfe972e52c7d",32,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"H1","f0e5f26e8056291af5a07172ead9f6a4fb69cbe0ef8cf4555d925088d24c16f2","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",10,0.160194928315471,0.148351327047905,-0.155682831764888,0.161290322580645,6,17,0,"closed",FALSE
"06c0dd6c129d8567651081156272cfe972e52c7d",32,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260809,"H1","f0e5f26e8056291af5a07172ead9f6a4fb69cbe0ef8cf4555d925088d24c16f2","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","hclust_average_v1",2,0.446949318750358,0.518008182050118,-0.371128316874895,0.0725806451612903,1,123,1,"closed",FALSE
