"contract_id","evidence_axis","required_display"
"mv10g_review_contract_v1","representations","all_three"
"mv10g_review_contract_v1","homology","H0_H1_separate"
"mv10g_review_contract_v1","methods","all_five"
"mv10g_review_contract_v1","K_grid","2_through_10"
"mv10g_review_contract_v1","seed_stability","mean_and_observed_range"
"mv10g_review_contract_v1","silhouette","descriptive_median_and_range"
"mv10g_review_contract_v1","negative_silhouette","separate_heatmap"
"mv10g_review_contract_v1","singletons","separate_heatmap"
"mv10g_review_contract_v1","minimum_size","separate_heatmap"
"mv10g_review_contract_v1","method_agreement","all_ten_pairs"
"mv10g_review_contract_v1","primary_selection","threshold_selected_K_and_silhouette_context"
"mv10g_review_contract_v1","privacy","no_sample_ids_labels_or_outcomes"
"mv10g_review_contract_v1","claims","none"
