"execution_head","catalog_order","stack_id","representation_id","panel_id","seed","homology_dimension","payload_set_sha256","pair_axis_sha256","contract_id","method_id","k","mean_silhouette","median_silhouette","minimum_silhouette","negative_silhouette_fraction","minimum_cluster_size","maximum_cluster_size","singleton_clusters","outcome_label_state","biological_outcomes_computed","selected_k"
"06c0dd6c129d8567651081156272cfe972e52c7d",21,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H0","b0faefce7b9d470a648def63419dcced211585a9913a8e4eebef600468770070","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",2,0.561231112577047,0.644059811102363,0.00882342465487683,0,31,93,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",21,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H0","b0faefce7b9d470a648def63419dcced211585a9913a8e4eebef600468770070","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",3,0.492641694654545,0.553632726394703,-0.199019285060412,0.0161290322580645,27,50,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",21,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H0","b0faefce7b9d470a648def63419dcced211585a9913a8e4eebef600468770070","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",4,0.482886958806611,0.544708070960572,-0.0420905934757987,0.0161290322580645,7,50,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",21,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H0","b0faefce7b9d470a648def63419dcced211585a9913a8e4eebef600468770070","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",5,0.432344203159222,0.484945857515647,-0.0968880440024534,0.0483870967741935,7,37,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",21,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H0","b0faefce7b9d470a648def63419dcced211585a9913a8e4eebef600468770070","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",6,0.391160358399801,0.433083960965464,-0.101755996427716,0.0241935483870968,7,29,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",21,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H0","b0faefce7b9d470a648def63419dcced211585a9913a8e4eebef600468770070","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",7,0.401086869051631,0.451951602724325,-0.0832603802524987,0.0241935483870968,5,29,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",21,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H0","b0faefce7b9d470a648def63419dcced211585a9913a8e4eebef600468770070","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",8,0.38964687232765,0.439789075874303,-0.0832603802524987,0.0483870967741935,5,29,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",21,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H0","b0faefce7b9d470a648def63419dcced211585a9913a8e4eebef600468770070","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",9,0.365876714691059,0.396276249680558,-0.0832603802524987,0.0645161290322581,5,21,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",21,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H0","b0faefce7b9d470a648def63419dcced211585a9913a8e4eebef600468770070","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",10,0.340459371229719,0.328615303022503,-0.0832603802524987,0.0403225806451613,5,19,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",23,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260805,"H1","6e22dee12143adfa9b991238e1193da1f44e0aa9361572211bbbdd44220d1296","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",2,0.35900481688338,0.402357766845937,-0.0357368901255406,0.00806451612903226,43,81,0,"closed",FALSE,3
