"contract_id","stack_id","homology_dimension","method_id","k","seeds","seed_pairs","mean_adjusted_rand","minimum_adjusted_rand","maximum_adjusted_rand","outcome_label_state","biological_outcomes_computed","representation_label","method_label","selected_k","threshold"
"mv10_seed_stability_v1","allqc_residual_exact500","H0","pam_dissimilarity_v1",2,5,10,0.861599260158953,0.804173159822712,0.9325116539502,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",2,0.835480197315799
"mv10_seed_stability_v1","allqc_residual_exact500","H0","pam_dissimilarity_v1",3,5,10,0.829471416772466,0.749805938800187,0.89741098231458,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",2,0.835480197315799
"mv10_seed_stability_v1","allqc_residual_exact500","H0","pam_dissimilarity_v1",4,5,10,0.649395371358795,0.403576249460566,0.828604651762584,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",2,0.835480197315799
"mv10_seed_stability_v1","allqc_residual_exact500","H0","pam_dissimilarity_v1",5,5,10,0.67647779445068,0.528081429824906,0.816301542223639,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",2,0.835480197315799
"mv10_seed_stability_v1","allqc_residual_exact500","H0","pam_dissimilarity_v1",6,5,10,0.660713881549001,0.568646121039097,0.816786356493735,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",2,0.835480197315799
"mv10_seed_stability_v1","allqc_residual_exact500","H0","pam_dissimilarity_v1",7,5,10,0.624977029063418,0.522645742948796,0.848099024604547,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",2,0.835480197315799
"mv10_seed_stability_v1","allqc_residual_exact500","H0","pam_dissimilarity_v1",8,5,10,0.571324528957571,0.517768672337409,0.740620183363138,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",2,0.835480197315799
"mv10_seed_stability_v1","allqc_residual_exact500","H0","pam_dissimilarity_v1",9,5,10,0.61112781630462,0.535569371280902,0.7113050213963,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",2,0.835480197315799
"mv10_seed_stability_v1","allqc_residual_exact500","H0","pam_dissimilarity_v1",10,5,10,0.537675156571548,0.441413810574419,0.615104231563308,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",2,0.835480197315799
"mv10_seed_stability_v1","allqc_residual_exact500","H1","pam_dissimilarity_v1",2,5,10,0.649732479276219,0.370660058019597,0.873541460939385,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",3,0.686786070092683
"mv10_seed_stability_v1","allqc_residual_exact500","H1","pam_dissimilarity_v1",3,5,10,0.733127377113748,0.567957002995828,0.947115276171522,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",3,0.686786070092683
"mv10_seed_stability_v1","allqc_residual_exact500","H1","pam_dissimilarity_v1",4,5,10,0.662113882483779,0.538571072033069,0.817098095307712,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",3,0.686786070092683
"mv10_seed_stability_v1","allqc_residual_exact500","H1","pam_dissimilarity_v1",5,5,10,0.596230288415008,0.494413916950371,0.740240862290385,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",3,0.686786070092683
"mv10_seed_stability_v1","allqc_residual_exact500","H1","pam_dissimilarity_v1",6,5,10,0.568252051115828,0.463460814400797,0.649937714516985,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",3,0.686786070092683
"mv10_seed_stability_v1","allqc_residual_exact500","H1","pam_dissimilarity_v1",7,5,10,0.583714174312173,0.524162298561127,0.67596311725033,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",3,0.686786070092683
"mv10_seed_stability_v1","allqc_residual_exact500","H1","pam_dissimilarity_v1",8,5,10,0.539305037316131,0.430816738947799,0.613529832209862,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",3,0.686786070092683
"mv10_seed_stability_v1","allqc_residual_exact500","H1","pam_dissimilarity_v1",9,5,10,0.469609633200383,0.406586602593274,0.591061750202128,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",3,0.686786070092683
"mv10_seed_stability_v1","allqc_residual_exact500","H1","pam_dissimilarity_v1",10,5,10,0.454729950341452,0.38576166280936,0.54585432921017,"closed",FALSE,"All-QC Pearson residual (primary)","PAM (primary)",3,0.686786070092683
