"contract_id","stack_id","homology_dimension","method_id","k","seeds","seed_pairs","mean_adjusted_rand","minimum_adjusted_rand","maximum_adjusted_rand","outcome_label_state","biological_outcomes_computed","representation_label","method_label"
"mv10_seed_stability_v1","allqc_data_exact500","H0","diana_dissimilarity_v1",2,5,10,0.923030939311819,0.862111612567263,0.964865617442393,"closed",FALSE,"All-QC SCT data","DIANA"
"mv10_seed_stability_v1","allqc_data_exact500","H0","diana_dissimilarity_v1",3,5,10,0.924891199132775,0.863942546264827,0.966896144372818,"closed",FALSE,"All-QC SCT data","DIANA"
"mv10_seed_stability_v1","allqc_data_exact500","H0","diana_dissimilarity_v1",4,5,10,0.786942549740501,0.64408435562038,0.922414258008862,"closed",FALSE,"All-QC SCT data","DIANA"
"mv10_seed_stability_v1","allqc_data_exact500","H0","diana_dissimilarity_v1",5,5,10,0.724233707983625,0.541579195249006,0.895874671840555,"closed",FALSE,"All-QC SCT data","DIANA"
"mv10_seed_stability_v1","allqc_data_exact500","H0","diana_dissimilarity_v1",6,5,10,0.648073658405988,0.480634356519275,0.890309942437017,"closed",FALSE,"All-QC SCT data","DIANA"
"mv10_seed_stability_v1","allqc_data_exact500","H0","diana_dissimilarity_v1",7,5,10,0.642312632131581,0.528528193124287,0.794511289464873,"closed",FALSE,"All-QC SCT data","DIANA"
"mv10_seed_stability_v1","allqc_data_exact500","H0","diana_dissimilarity_v1",8,5,10,0.604856205571637,0.506063483549222,0.799122544235174,"closed",FALSE,"All-QC SCT data","DIANA"
"mv10_seed_stability_v1","allqc_data_exact500","H0","diana_dissimilarity_v1",9,5,10,0.584312316579418,0.475980654926281,0.699330788018669,"closed",FALSE,"All-QC SCT data","DIANA"
"mv10_seed_stability_v1","allqc_data_exact500","H0","diana_dissimilarity_v1",10,5,10,0.593284133118613,0.508185251824337,0.766340960942624,"closed",FALSE,"All-QC SCT data","DIANA"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_average_v1",2,5,10,1,1,1,"closed",FALSE,"All-QC SCT data","Average linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_average_v1",3,5,10,0.964947475703479,0.941579126172464,1,"closed",FALSE,"All-QC SCT data","Average linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_average_v1",4,5,10,0.65111360386792,0.4528799304798,1,"closed",FALSE,"All-QC SCT data","Average linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_average_v1",5,5,10,0.66718925649021,0.370234977447985,0.917931879624692,"closed",FALSE,"All-QC SCT data","Average linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_average_v1",6,5,10,0.598419083962673,0.368327734118469,0.910174247399974,"closed",FALSE,"All-QC SCT data","Average linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_average_v1",7,5,10,0.665511063071712,0.564092353161283,0.893587858926546,"closed",FALSE,"All-QC SCT data","Average linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_average_v1",8,5,10,0.695967953343178,0.62569282490403,0.782336428225583,"closed",FALSE,"All-QC SCT data","Average linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_average_v1",9,5,10,0.705972449519972,0.627126235067226,0.766095238095238,"closed",FALSE,"All-QC SCT data","Average linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_average_v1",10,5,10,0.666791889778204,0.569541797303404,0.74244656249436,"closed",FALSE,"All-QC SCT data","Average linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_complete_v1",2,5,10,0.40957525336142,0.0533252733729854,1,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_complete_v1",3,5,10,0.412133264610672,0.182237965475319,0.765732392086882,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_complete_v1",4,5,10,0.580531407081553,0.368162822154204,0.77422788240909,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_complete_v1",5,5,10,0.561465241342051,0.369885432197884,0.686594642534182,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_complete_v1",6,5,10,0.464869168629779,0.320416108923605,0.612320824567241,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_complete_v1",7,5,10,0.481103015121273,0.394867639227704,0.551222754040491,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_complete_v1",8,5,10,0.478539295765564,0.379778942698073,0.549291689601921,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_complete_v1",9,5,10,0.471737518346778,0.36677212204409,0.604746524467796,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_complete_v1",10,5,10,0.474106616202765,0.358066291262429,0.582099436838316,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_single_diagnostic_v1",2,5,10,1,1,1,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_single_diagnostic_v1",3,5,10,0.99855280421463,0.996382010536576,1,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_single_diagnostic_v1",4,5,10,0.559441056930022,0.27417063535202,1,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_single_diagnostic_v1",5,5,10,0.56484667197898,0.293308273620737,0.997700894378014,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_single_diagnostic_v1",6,5,10,0.568070082543011,0.292884578371729,0.997987993391458,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_single_diagnostic_v1",7,5,10,0.715609969040946,0.304300124156907,0.999424878550278,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_single_diagnostic_v1",8,5,10,0.712200633190382,0.328632962497866,0.999433845146922,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_single_diagnostic_v1",9,5,10,0.748527991633519,0.446924481063318,0.967527038959286,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H0","hclust_single_diagnostic_v1",10,5,10,0.73828857676331,0.45782606893902,0.963093046123793,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H0","pam_dissimilarity_v1",2,5,10,0.91015671014219,0.830216518307663,0.964865617442393,"closed",FALSE,"All-QC SCT data","PAM (primary)"
"mv10_seed_stability_v1","allqc_data_exact500","H0","pam_dissimilarity_v1",3,5,10,0.806275878764543,0.730361575527692,0.91855781368119,"closed",FALSE,"All-QC SCT data","PAM (primary)"
"mv10_seed_stability_v1","allqc_data_exact500","H0","pam_dissimilarity_v1",4,5,10,0.749183206515244,0.636395001890714,0.803600063369328,"closed",FALSE,"All-QC SCT data","PAM (primary)"
"mv10_seed_stability_v1","allqc_data_exact500","H0","pam_dissimilarity_v1",5,5,10,0.74385456294423,0.625301236139819,0.813743517672581,"closed",FALSE,"All-QC SCT data","PAM (primary)"
"mv10_seed_stability_v1","allqc_data_exact500","H0","pam_dissimilarity_v1",6,5,10,0.589692428159077,0.501548362270351,0.768995314500979,"closed",FALSE,"All-QC SCT data","PAM (primary)"
