"contract_id","stack_id","homology_dimension","k","method_pair_id","method_pair_label","seeds","median_adjusted_rand","minimum_adjusted_rand","maximum_adjusted_rand","outcome_label_state","biological_outcomes_computed","representation_label","interpretation"
"mv10m_method_sensitivity_v1","allqc_data_exact500","H0",2,"diana_dissimilarity_v1__pam_dissimilarity_v1","DIANA vs PAM (primary)",5,1,0.897417340418933,1,"closed",FALSE,"All-QC SCT data","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","allqc_data_exact500","H0",2,"hclust_average_v1__pam_dissimilarity_v1","Average linkage vs PAM (primary)",5,0.895147258090334,0.830216518307663,1,"closed",FALSE,"All-QC SCT data","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","allqc_data_exact500","H0",2,"hclust_complete_v1__pam_dissimilarity_v1","Complete linkage vs PAM (primary)",5,0.895147258090334,0.0533252733729854,0.96584328413809,"closed",FALSE,"All-QC SCT data","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","allqc_data_exact500","H0",2,"hclust_single_diagnostic_v1__pam_dissimilarity_v1","Single linkage (diagnostic) vs PAM (primary)",5,0.178109135488681,0.158554364372992,0.21213582202631,"closed",FALSE,"All-QC SCT data","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","allqc_residual_exact500","H0",2,"diana_dissimilarity_v1__pam_dissimilarity_v1","DIANA vs PAM (primary)",5,0.899981855204532,0.898372760308753,1,"closed",FALSE,"All-QC Pearson residual (primary)","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","allqc_residual_exact500","H0",2,"hclust_average_v1__pam_dissimilarity_v1","Average linkage vs PAM (primary)",5,0.766537878674041,0.677415476683453,0.830216518307663,"closed",FALSE,"All-QC Pearson residual (primary)","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","allqc_residual_exact500","H0",2,"hclust_complete_v1__pam_dissimilarity_v1","Complete linkage vs PAM (primary)",5,0.763865741229088,0.0246325812461188,0.768923095569965,"closed",FALSE,"All-QC Pearson residual (primary)","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","allqc_residual_exact500","H0",2,"hclust_single_diagnostic_v1__pam_dissimilarity_v1","Single linkage (diagnostic) vs PAM (primary)",5,0.0299566930415815,-0.010641949879849,0.0562496184993251,"closed",FALSE,"All-QC Pearson residual (primary)","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","existing_selectedfit_data_exact500","H0",2,"diana_dissimilarity_v1__pam_dissimilarity_v1","DIANA vs PAM (primary)",5,1,0.897417340418933,1,"closed",FALSE,"Historical selected-fit data","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","existing_selectedfit_data_exact500","H0",2,"hclust_average_v1__pam_dissimilarity_v1","Average linkage vs PAM (primary)",5,0.929065030050678,0.830216518307663,0.964002235396869,"closed",FALSE,"Historical selected-fit data","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","existing_selectedfit_data_exact500","H0",2,"hclust_complete_v1__pam_dissimilarity_v1","Complete linkage vs PAM (primary)",5,0.895147258090334,0.771050376003848,0.929065030050678,"closed",FALSE,"Historical selected-fit data","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","existing_selectedfit_data_exact500","H0",2,"hclust_single_diagnostic_v1__pam_dissimilarity_v1","Single linkage (diagnostic) vs PAM (primary)",5,0.178109135488681,0.0768084361569784,0.2000906449732,"closed",FALSE,"Historical selected-fit data","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","allqc_data_exact500","H1",3,"diana_dissimilarity_v1__pam_dissimilarity_v1","DIANA vs PAM (primary)",5,0.391487991791126,0.255952077493508,0.473118789075721,"closed",FALSE,"All-QC SCT data","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","allqc_data_exact500","H1",3,"hclust_average_v1__pam_dissimilarity_v1","Average linkage vs PAM (primary)",5,0.416725844437868,0.386400354411237,0.500670477642259,"closed",FALSE,"All-QC SCT data","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","allqc_data_exact500","H1",3,"hclust_complete_v1__pam_dissimilarity_v1","Complete linkage vs PAM (primary)",5,0.516201447623759,0.293290455307879,0.564962951658912,"closed",FALSE,"All-QC SCT data","descriptive_context_no_method_ranking"
"mv10m_method_sensitivity_v1","allqc_data_exact500","H1",3,"hclust_single_diagnostic_v1__pam_dissimilarity_v1","Single linkage (diagnostic) vs PAM (primary)",5,0.00438055197811339,-0.00181972880578499,0.0103146143111392,"closed",FALSE,"All-QC SCT data","descriptive_context_no_method_ranking"
