"contract_id","partition_order","stack_id","homology_dimension","method_id","method_role","selected_k","seeds","samples_per_seed","partition_group_sha256","source_file_sha256","refit_authorized","outcome_driven_selection_authorized","association_computed"
"mv10p_partition_registry_v1",1,"allqc_data_exact500","H0","pam_dissimilarity_v1","primary",2,"20260805;20260806;20260807;20260808;20260809",124,"c20a4fc53b62b99cd496910f721e7db0c21e0ddd900814e86ef265ab295a5ecb","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",2,"allqc_data_exact500","H0","hclust_average_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"2bcaee719adcd572e98475f272e338906c9c248d046b670c6fb6509fb242ee7d","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",3,"allqc_data_exact500","H0","hclust_complete_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"18d1c9cb0b8744c7ea5ac3bec9f9532eb58182610832a54e5722485c03f9a64c","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",4,"allqc_data_exact500","H0","diana_dissimilarity_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"974efc3093fa32ded53bdf9926adfd976d045b87a58ef04de1302df3603d4e17","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",5,"allqc_data_exact500","H0","hclust_single_diagnostic_v1","diagnostic",2,"20260805;20260806;20260807;20260808;20260809",124,"4b4445525bf912433f83868c46273e07ab67ff4729eea0c954ebb1369bee44b2","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",6,"allqc_data_exact500","H1","pam_dissimilarity_v1","primary",3,"20260805;20260806;20260807;20260808;20260809",124,"6a5a59784766507acacbed6b6ea7208febf488b03c0df3c88abde24eee356505","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",7,"allqc_data_exact500","H1","hclust_average_v1","sensitivity",3,"20260805;20260806;20260807;20260808;20260809",124,"2173397c591393e62b3ce010a85b6c30da57856066a3c9652390249261961f73","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",8,"allqc_data_exact500","H1","hclust_complete_v1","sensitivity",3,"20260805;20260806;20260807;20260808;20260809",124,"dd63d0508a1f8782e6c128b0c2c75c726f60eb98a133ee24a111d5ccbe39e8ed","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",9,"allqc_data_exact500","H1","diana_dissimilarity_v1","sensitivity",3,"20260805;20260806;20260807;20260808;20260809",124,"c10a69489ba965599c1b99974c2b4e7ea5abb1d9ad29fa972508e6f6b2db9d03","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",10,"allqc_data_exact500","H1","hclust_single_diagnostic_v1","diagnostic",3,"20260805;20260806;20260807;20260808;20260809",124,"8b8515e278af298f2ddc5843e902bfa8cdd58a1d9c2b424d2df0e45437b05463","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",11,"allqc_residual_exact500","H0","pam_dissimilarity_v1","primary",2,"20260805;20260806;20260807;20260808;20260809",124,"5afd3d15a274f9dd81b4f2ce7030b8fbcb43a64ca148cc4a0bb752050364313b","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",12,"allqc_residual_exact500","H0","hclust_average_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"7cd11ce8f91fc11d1a26804bb56a834a256e3dcc3df27cf7bdf50b5aaae871d3","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",13,"allqc_residual_exact500","H0","hclust_complete_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"9400a37d84ffba0e049c130a59be5f91deb9c816732f823ae16d7a45df09b85d","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",14,"allqc_residual_exact500","H0","diana_dissimilarity_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"f2ed4d3bf16a83a32d8532d28aeeecfc67e350bea6718ff5d621fa7fb9b87766","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",15,"allqc_residual_exact500","H0","hclust_single_diagnostic_v1","diagnostic",2,"20260805;20260806;20260807;20260808;20260809",124,"f196a0dd5873d3ec9ac8cfd30d80ef1862ab067fd4438276559ef9f5d85515b6","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",16,"allqc_residual_exact500","H1","pam_dissimilarity_v1","primary",3,"20260805;20260806;20260807;20260808;20260809",124,"b3db070d93a66087fe4fa4d84a6b8d2ec0a2075ef8c96fec5b7972a5a6943d93","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",17,"allqc_residual_exact500","H1","hclust_average_v1","sensitivity",3,"20260805;20260806;20260807;20260808;20260809",124,"85732f7496900343d8400c01778bd44cc9bcfa3acf7857ed92fc3a783cfd3bcb","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",18,"allqc_residual_exact500","H1","hclust_complete_v1","sensitivity",3,"20260805;20260806;20260807;20260808;20260809",124,"43c213d40b3e25de9b17df3cc6e58f2dd37eb6916c7a3735dacd7c4fb57f3afa","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
"mv10p_partition_registry_v1",19,"allqc_residual_exact500","H1","diana_dissimilarity_v1","sensitivity",3,"20260805;20260806;20260807;20260808;20260809",124,"ab65a6f1919484837c43bb59a50b7fd9bd439d38a17d33093cb139991ae91011","4a3e3719065cdec4e8b78b5ff40c686b5d3d27d77f1918487aaa0ffd0b84c710",FALSE,FALSE,FALSE
