"contract_id","evidence_axis","required_display"
"mv10s_review_contract_v1","representations","all_three"
"mv10s_review_contract_v1","homology","H0_H1_separate"
"mv10s_review_contract_v1","metrics","ARI_and_max_NMI"
"mv10s_review_contract_v1","seed_variability","mean_and_observed_range"
"mv10s_review_contract_v1","full124_tissue","complete"
"mv10s_review_contract_v1","full124_study","complete"
"mv10s_review_contract_v1","full124_approach","complete"
"mv10s_review_contract_v1","approach_confounding","explicit_confounded_diagnostic"
"mv10s_review_contract_v1","primary90_tissue_study","complete"
"mv10s_review_contract_v1","primary90_approach","one_class_structurally_not_estimable"
"mv10s_review_contract_v1","methods","all_five_common_K_no_ranking"
"mv10s_review_contract_v1","claims","none"
