"evaluation_unit_id","execution_order","endpoint_id","population_id","label_axis","stack_id","homology_dimension","method_id","method_role","selected_k","metric_id","seed_mean","seed_median","seed_minimum","seed_maximum","seed_jackknife_se","completed_seeds","expected_seeds","status","representation_label","method_label","metric_label","endpoint_label","inference_performed","ranking_performed","biological_claim"
"mv10p_outcome_v1:63294ecb69e97b7a6b207ad42c431414ad3387ed195ee561386c455423b42983",1,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","pam_dissimilarity_v1","primary",2,"adjusted_rand_index",0.0478598085285876,0.0491936318741316,0.0453982293440786,0.0497991043287124,0.000948182298768986,5,5,"completed","All-QC SCT data","PAM (primary)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:7d71e3d4b37a139c2e53018d44499c4f68d5bc4aa4dc86bd674f1070bcf36a96",2,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","pam_dissimilarity_v1","primary",2,"normalized_mutual_information_max",0.110494256352488,0.110445334047402,0.109262218878589,0.112264299924117,0.000492417480475529,5,5,"completed","All-QC SCT data","PAM (primary)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:cd2ab6b0323c9aaa14027c248ed8cdd637c415d42accd5e30888ce95901fe559",3,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","hclust_average_v1","sensitivity",2,"adjusted_rand_index",0.0457144452218839,0.0457144452218839,0.0457144452218839,0.0457144452218839,0,5,5,"completed","All-QC SCT data","Average linkage","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:7ed7bf41bcda2533a1d4dae936ee196ce3692cded79a7243cdffbf674a3aa123",4,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.109262218878589,0.109262218878589,0.109262218878589,0.109262218878589,0,5,5,"completed","All-QC SCT data","Average linkage","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:777f6d98b638f5ec22fe16469fdea1433e405ad4f0ee6a976118c56eb12b0504",5,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","hclust_complete_v1","sensitivity",2,"adjusted_rand_index",0.06726127835884,0.0457144452218839,0.0446548084349558,0.106530043802393,0.0135650982640971,5,5,"completed","All-QC SCT data","Complete linkage","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:59ed8c8e2cea0022d2db90ea1cb302ddf77b2048133df2ba3c9e45e52f07f293",6,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","hclust_complete_v1","sensitivity",2,"normalized_mutual_information_max",0.124164571125672,0.109345975279686,0.109262218878589,0.154225973890865,0.00943262366744722,5,5,"completed","All-QC SCT data","Complete linkage","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:84004cc135a6acde125f51b197c57bc83b7d260569542e86d3a7160508dd73ef",7,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","diana_dissimilarity_v1","sensitivity",2,"adjusted_rand_index",0.0478788326729611,0.0457144452218839,0.0436526718205935,0.055435185104118,0.00209195555004136,5,5,"completed","All-QC SCT data","DIANA","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:35c32cf99f0c5d65d225d0fb10c2ca648df1a99882008d7ab7e1cdc273e6ee3e",8,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","diana_dissimilarity_v1","sensitivity",2,"normalized_mutual_information_max",0.110088879041323,0.110054094864928,0.105089088743533,0.115593658672164,0.00167499461105006,5,5,"completed","All-QC SCT data","DIANA","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:eec74d92baa77d2a84d7e1d0d6ce4f1ec33f73ae88ae9353eda17170be6fcb66",9,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","hclust_single_diagnostic_v1","diagnostic",2,"adjusted_rand_index",-0.00702787332904092,-0.00702787332904092,-0.00702787332904092,-0.00702787332904092,0,5,5,"completed","All-QC SCT data","Single linkage (diagnostic)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:f5b2e3272f049da0d231b9be0f4d61a3cd94b3fad97a3e97b6156a128e8734ce",10,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","hclust_single_diagnostic_v1","diagnostic",2,"normalized_mutual_information_max",0.0326782542602136,0.0326782542602136,0.0326782542602136,0.0326782542602136,0,5,5,"completed","All-QC SCT data","Single linkage (diagnostic)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
