"evaluation_unit_id","execution_order","endpoint_id","population_id","label_axis","stack_id","homology_dimension","method_id","method_role","selected_k","metric_id","seed_mean","seed_median","seed_minimum","seed_maximum","seed_jackknife_se","completed_seeds","expected_seeds","status","representation_label","method_label","metric_label","endpoint_label","inference_performed","ranking_performed","biological_claim"
"mv10p_outcome_v1:63294ecb69e97b7a6b207ad42c431414ad3387ed195ee561386c455423b42983",1,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","pam_dissimilarity_v1","primary",2,"adjusted_rand_index",0.0478598085285876,0.0491936318741316,0.0453982293440786,0.0497991043287124,0.000948182298768986,5,5,"completed","All-QC SCT data","PAM (primary)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:7d71e3d4b37a139c2e53018d44499c4f68d5bc4aa4dc86bd674f1070bcf36a96",2,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H0","pam_dissimilarity_v1","primary",2,"normalized_mutual_information_max",0.110494256352488,0.110445334047402,0.109262218878589,0.112264299924117,0.000492417480475529,5,5,"completed","All-QC SCT data","PAM (primary)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:d38f4db0b1db8d0f10e328029b6311e271e6936b017934bfd29d8eed13417e19",11,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","pam_dissimilarity_v1","primary",3,"adjusted_rand_index",0.119379457565692,0.123006307572782,0.108273563292249,0.125884522893014,0.00315498497714402,5,5,"completed","All-QC SCT data","PAM (primary)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:63be0367d10959a3fdd452c8a6cdcb00822fe77c132c2dccdef1a9931dcc4feb",12,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_data_exact500","H1","pam_dissimilarity_v1","primary",3,"normalized_mutual_information_max",0.216084023337859,0.219569441874879,0.207480986118512,0.221058292101582,0.00276528217953349,5,5,"completed","All-QC SCT data","PAM (primary)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:268c101057f2d0df24c3f0a0f703a6abf1541d441b9523fc86b63ab13431ac2b",21,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","pam_dissimilarity_v1","primary",2,"adjusted_rand_index",0.035908361284491,0.0337650983434996,0.0291230205061584,0.0446879931101588,0.0026792755047898,5,5,"completed","All-QC Pearson residual (primary)","PAM (primary)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:6ce56073bdca5d2c1740790c87b456318612c43dbd88a03d9f05db65e610ab22",22,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H0","pam_dissimilarity_v1","primary",2,"normalized_mutual_information_max",0.0914774289889864,0.0901635450807586,0.0855355500909036,0.0972212651312447,0.00210955968900752,5,5,"completed","All-QC Pearson residual (primary)","PAM (primary)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:be5407ca0c148493a4ec0c5e68e58c467cb3e94610b71fad720772def265923d",31,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","pam_dissimilarity_v1","primary",3,"adjusted_rand_index",0.122137408492959,0.121882125874561,0.114308098902148,0.133301945840539,0.00336969135648906,5,5,"completed","All-QC Pearson residual (primary)","PAM (primary)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:fc4f10000944a8e9baf8b88b8e26a6399a17067a0f08e7c2fa4083b6e8d9c395",32,"full124_descriptive__tissue","full124_descriptive","tissue","allqc_residual_exact500","H1","pam_dissimilarity_v1","primary",3,"normalized_mutual_information_max",0.207370470123486,0.202558270248449,0.195504177696407,0.224042523187274,0.00529010767498968,5,5,"completed","All-QC Pearson residual (primary)","PAM (primary)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:4ad27e3a7dc99f244157edd25a2b6293c64ae7a620e30bf96ed2a86710e372da",41,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H0","pam_dissimilarity_v1","primary",2,"adjusted_rand_index",0.0475559790339262,0.0491936318741316,0.0436526718205935,0.0497991043287124,0.00127198318278681,5,5,"completed","Historical selected-fit data","PAM (primary)","Adjusted Rand index","Full 124: tissue",FALSE,FALSE,FALSE
"mv10p_outcome_v1:4056dce7bf6f667e91ecb4d7839c810e23de91a9ceff0c825557ab566399bc7c",42,"full124_descriptive__tissue","full124_descriptive","tissue","existing_selectedfit_data_exact500","H0","pam_dissimilarity_v1","primary",2,"normalized_mutual_information_max",0.109579454928881,0.110054094864928,0.105089088743533,0.112264299924117,0.0011950530914943,5,5,"completed","Historical selected-fit data","PAM (primary)","Normalized mutual information","Full 124: tissue",FALSE,FALSE,FALSE
