"endpoint_id","population_id","label_axis","homology_dimension","metric_id","values","representation_minimum","representation_median","representation_maximum","representation_range"
"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","H0","adjusted_rand_index",3,-0.0557206434005706,-0.0556946866314231,-0.0521149838222884,0.0036056595782822
"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","H0","normalized_mutual_information_max",3,0.0241747128774106,0.0241775502137527,0.0261543908868324,0.0019796780094218
"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","H1","adjusted_rand_index",3,0.014802347619028,0.0151835653196138,0.0417998850207866,0.0269975374017586
"full124_descriptive__canonical_approach","full124_descriptive","canonical_approach","H1","normalized_mutual_information_max",3,0.0529701580440456,0.053056606101841,0.0656860488065701,0.0127158907625245
"full124_descriptive__study","full124_descriptive","study","H0","adjusted_rand_index",3,0.0608807096572773,0.0626396275856312,0.0630932724248119,0.0022125627675346
"full124_descriptive__study","full124_descriptive","study","H0","normalized_mutual_information_max",3,0.131960215444627,0.139327728970972,0.140310677610376,0.008350462165749
"full124_descriptive__study","full124_descriptive","study","H1","adjusted_rand_index",3,0.119982932879832,0.124031200779912,0.145932251172501,0.025949318292669
"full124_descriptive__study","full124_descriptive","study","H1","normalized_mutual_information_max",3,0.237305064260409,0.240544016238027,0.253745921274996,0.016440857014587
"full124_descriptive__tissue","full124_descriptive","tissue","H0","adjusted_rand_index",3,0.035908361284491,0.0475559790339262,0.0478598085285876,0.0119514472440966
"full124_descriptive__tissue","full124_descriptive","tissue","H0","normalized_mutual_information_max",3,0.0914774289889864,0.109579454928881,0.110494256352488,0.0190168273635016
"full124_descriptive__tissue","full124_descriptive","tissue","H1","adjusted_rand_index",3,0.111747706502212,0.119379457565692,0.122137408492959,0.010389701990747
"full124_descriptive__tissue","full124_descriptive","tissue","H1","normalized_mutual_information_max",3,0.206849702486827,0.207370470123486,0.216084023337859,0.00923432085103201
"primary90_context_restriction__study","primary90_context_restriction","study","H0","adjusted_rand_index",3,0.0987906988721958,0.103354988707374,0.10438052851454,0.0055898296423442
"primary90_context_restriction__study","primary90_context_restriction","study","H0","normalized_mutual_information_max",3,0.155311329545203,0.159544398477475,0.161034756670422,0.005723427125219
"primary90_context_restriction__study","primary90_context_restriction","study","H1","adjusted_rand_index",3,0.147019084569322,0.151003318519666,0.197064739281094,0.050045654711772
"primary90_context_restriction__study","primary90_context_restriction","study","H1","normalized_mutual_information_max",3,0.250725037107709,0.251055089793054,0.269623523461203,0.018898486353494
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","H0","adjusted_rand_index",3,0.0794068972337671,0.110095411125427,0.110649088231321,0.0312421909975539
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","H0","normalized_mutual_information_max",3,0.0961696073424781,0.118010356014377,0.119658981970168,0.0234893746276899
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","H1","adjusted_rand_index",3,0.136714179496693,0.14862403153477,0.15390229685706,0.017188117360367
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","H1","normalized_mutual_information_max",3,0.195086823188318,0.203643933908352,0.213075557023049,0.017988733834731
