"homology_dimension","method_id","method_role","k2_mean","k3_mean","k3_minus_k2"
"H0","pam_dissimilarity_v1","primary",0.0570439299229114,0.0610747699919286,0.0040308400690172025
"H0","hclust_average_v1","sensitivity",0.0122285809173786,0.00824656940457679,-0.00398201151280181
"H0","hclust_complete_v1","sensitivity",0.0279355067171804,0.0323173255925307,0.004381818875350298
"H0","hclust_single_diagnostic_v1","diagnostic_chaining",-0.0126806112191636,0.0319351811477205,0.0446157923668841
"H0","diana_dissimilarity_v1","sensitivity",0.0619654207420785,0.0864773195795656,0.024511898837487098
"H1","pam_dissimilarity_v1","primary",0.320625030208407,0.197420258172684,-0.123204772035723
"H1","hclust_average_v1","sensitivity",-0.0273067729302201,-0.000735176716871129,0.02657159621334897
"H1","hclust_complete_v1","sensitivity",-0.0151642064109206,-0.00896492788428421,0.00619927852663639
"H1","hclust_single_diagnostic_v1","diagnostic_chaining",-0.00813008130080934,0.0842457674131442,0.09237584871395355
"H1","diana_dissimilarity_v1","sensitivity",-0.00841989028806221,0.0440899900714054,0.05250988035946761
