"ph_order","view_order","dataset_scope","unit_id","seed","panel_id","representation_id","view_id","selected_cells","pca_components","point_metric","outcome_label_state","biological_outcomes_computed","homology_dimension"
1,1,"external8","HCA_BM_001",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
2,1,"external8","HCA_BM_001",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H1"
3,2,"external8","HCA_BM_002",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
4,2,"external8","HCA_BM_002",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H1"
5,3,"external8","HCA_BM_003",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
6,3,"external8","HCA_BM_003",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H1"
7,4,"external8","HCA_BM_004",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
8,4,"external8","HCA_BM_004",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H1"
9,5,"external8","HCA_BM_005",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
10,5,"external8","HCA_BM_005",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H1"
11,6,"external8","HCA_BM_006",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
12,6,"external8","HCA_BM_006",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H1"
13,7,"external8","HCA_BM_007",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
14,7,"external8","HCA_BM_007",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H1"
15,8,"external8","HCA_BM_008",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
16,8,"external8","HCA_BM_008",20260805,"common475","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H1"
17,9,"external8","HCA_BM_001",20260805,"exact500","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
18,9,"external8","HCA_BM_001",20260805,"exact500","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H1"
19,10,"external8","HCA_BM_002",20260805,"exact500","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
20,10,"external8","HCA_BM_002",20260805,"exact500","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H1"
21,11,"external8","HCA_BM_003",20260805,"exact500","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
22,11,"external8","HCA_BM_003",20260805,"exact500","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H1"
23,12,"external8","HCA_BM_004",20260805,"exact500","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
24,12,"external8","HCA_BM_004",20260805,"exact500","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H1"
25,13,"external8","HCA_BM_005",20260805,"exact500","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
26,13,"external8","HCA_BM_005",20260805,"exact500","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H1"
27,14,"external8","HCA_BM_006",20260805,"exact500","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
28,14,"external8","HCA_BM_006",20260805,"exact500","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H1"
29,15,"external8","HCA_BM_007",20260805,"exact500","sct_pearson_residual_all_qc_fit_selected384","cell_topology_v1",384,30,"euclidean_shared_pca_v1","closed",FALSE,"H0"
