"contract_id","group_order","group_id","base_group_order","dataset_scope","panel_id","seed","homology_dimension","units","pair_count","chunks","minimum_finite_intervals","maximum_finite_intervals","minimum_active_depth","maximum_active_depth","artifact_file","artifact_bytes","artifact_sha256","labels_used","outcomes_used","downstream_jobs"
"mv14_cell_landscape_group_v1",1,"external8__common475__20260805__H0",1,"external8","common475",20260805,"H0",8,28,1,383,383,383,383,"external8__common475__20260805.rds",963766,"d7cc76f99c75dcb0c55561933c062c8ed6d19685d6cacf6dfcbf78b087365309",FALSE,FALSE,0
"mv14_cell_landscape_group_v1",2,"external8__common475__20260805__H1",1,"external8","common475",20260805,"H1",8,28,1,180,224,12,31,"external8__common475__20260805.rds",963766,"d7cc76f99c75dcb0c55561933c062c8ed6d19685d6cacf6dfcbf78b087365309",FALSE,FALSE,0
"mv14_cell_landscape_group_v1",3,"external8__exact500__20260805__H0",2,"external8","exact500",20260805,"H0",8,28,1,383,383,383,383,"external8__exact500__20260805.rds",970480,"1713cd13d054ace6948ed8e2804ff4e849d890bf4c1412aafe62ae38810df4fa",FALSE,FALSE,0
"mv14_cell_landscape_group_v1",4,"external8__exact500__20260805__H1",2,"external8","exact500",20260805,"H1",8,28,1,174,222,12,30,"external8__exact500__20260805.rds",970480,"1713cd13d054ace6948ed8e2804ff4e849d890bf4c1412aafe62ae38810df4fa",FALSE,FALSE,0
"mv14_cell_landscape_group_v1",5,"internal124__exact500__20260805__H0",3,"internal124","exact500",20260805,"H0",124,7626,31,383,383,383,383,"internal124__exact500__20260805.rds",13275289,"5524750896d73c86e9abcea73d2faa37aa0071bb6ce215b9ba984d7e05945ef9",FALSE,FALSE,0
"mv14_cell_landscape_group_v1",6,"internal124__exact500__20260805__H1",3,"internal124","exact500",20260805,"H1",124,7626,31,140,418,13,105,"internal124__exact500__20260805.rds",13275289,"5524750896d73c86e9abcea73d2faa37aa0071bb6ce215b9ba984d7e05945ef9",FALSE,FALSE,0
"mv14_cell_landscape_group_v1",7,"internal124__exact500__20260806__H0",4,"internal124","exact500",20260806,"H0",124,7626,31,383,383,383,383,"internal124__exact500__20260806.rds",13276394,"cfc71422a57068c8e6649267c0fbfdb1155f97ac8e7762023f9e6429ecf3aaa4",FALSE,FALSE,0
"mv14_cell_landscape_group_v1",8,"internal124__exact500__20260806__H1",4,"internal124","exact500",20260806,"H1",124,7626,31,145,433,14,73,"internal124__exact500__20260806.rds",13276394,"cfc71422a57068c8e6649267c0fbfdb1155f97ac8e7762023f9e6429ecf3aaa4",FALSE,FALSE,0
"mv14_cell_landscape_group_v1",9,"internal124__exact500__20260807__H0",5,"internal124","exact500",20260807,"H0",124,7626,31,383,383,383,383,"internal124__exact500__20260807.rds",13272964,"e965b3b270149afd5c3a532fdd95282294e050374a3537bf5b203f59186f9cca",FALSE,FALSE,0
"mv14_cell_landscape_group_v1",10,"internal124__exact500__20260807__H1",5,"internal124","exact500",20260807,"H1",124,7626,31,140,440,9,91,"internal124__exact500__20260807.rds",13272964,"e965b3b270149afd5c3a532fdd95282294e050374a3537bf5b203f59186f9cca",FALSE,FALSE,0
"mv14_cell_landscape_group_v1",11,"internal124__exact500__20260808__H0",6,"internal124","exact500",20260808,"H0",124,7626,31,383,383,383,383,"internal124__exact500__20260808.rds",13273664,"f780a60bbf968801e84f239e0bd48d9b924d7f1fdd10f9a76040792cd51fc52a",FALSE,FALSE,0
"mv14_cell_landscape_group_v1",12,"internal124__exact500__20260808__H1",6,"internal124","exact500",20260808,"H1",124,7626,31,126,434,11,87,"internal124__exact500__20260808.rds",13273664,"f780a60bbf968801e84f239e0bd48d9b924d7f1fdd10f9a76040792cd51fc52a",FALSE,FALSE,0
"mv14_cell_landscape_group_v1",13,"internal124__exact500__20260809__H0",7,"internal124","exact500",20260809,"H0",124,7626,31,383,383,383,383,"internal124__exact500__20260809.rds",13283257,"ad8bd9ff7786a5db8403dcd32f18c43e2a49062240a83349013ad86c04f22d9e",FALSE,FALSE,0
"mv14_cell_landscape_group_v1",14,"internal124__exact500__20260809__H1",7,"internal124","exact500",20260809,"H1",124,7626,31,136,478,13,94,"internal124__exact500__20260809.rds",13283257,"ad8bd9ff7786a5db8403dcd32f18c43e2a49062240a83349013ad86c04f22d9e",FALSE,FALSE,0
