"contract_id","production_order","group_order","group_id","chunk_order","pair_start","pair_end","pair_count","pair_subset_sha256","authorization_state","comparison_jobs","clustering_jobs","fusion_jobs","label_jobs","outcome_jobs","manuscript_claim_jobs","outcome_label_state","biological_outcomes_computed"
"mv14_cell_landscape_queue_v1",1,1,"external8__common475__20260805__H0",1,1,28,28,"8566c1d9098ea8cc149cf8da6ffa7e441177795872f1069e8ca20466015436de","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",2,2,"external8__common475__20260805__H1",1,1,28,28,"ce96e936511b72757847f13bfc9947e4125a172d678b37b752dda2721a2bc11e","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",3,3,"external8__exact500__20260805__H0",1,1,28,28,"d7c78c821b128a005fea3d8f773680e14636ed0a3cf56d6d8b696e451264f0e1","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",4,4,"external8__exact500__20260805__H1",1,1,28,28,"e75513d97a2b7fdcf2378e9e39f515b64a3122b40bfd93f44a4f8ce5eec11020","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",5,5,"internal124__exact500__20260805__H0",1,1,250,250,"c047657fde1fe6370291c3a0067980ca0b4e4e45457f7bbbc97b3a362411f534","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",6,5,"internal124__exact500__20260805__H0",2,251,500,250,"f4bee003253836fb5080ba9e6ff29591fde8d53b59db5a20180949ab1ac63194","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",7,5,"internal124__exact500__20260805__H0",3,501,750,250,"7240b8c4fa41b0f39ebbc57329e52b5795d01af95d86c1fbdd33e3cf13b5466d","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",8,5,"internal124__exact500__20260805__H0",4,751,1000,250,"456adfdd81000e56e254409029539638873f581970a6247a06dad74fdf22bf0c","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",9,5,"internal124__exact500__20260805__H0",5,1001,1250,250,"3c82e33384edceddc20bbc8f17e611ad752db6d00cc69300fb24aa4dfd06421b","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",10,5,"internal124__exact500__20260805__H0",6,1251,1500,250,"7e1d6fbb859e647dcba03c46dc3c3406c5549ab1e3cc00c6d7faab55fb390505","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",11,5,"internal124__exact500__20260805__H0",7,1501,1750,250,"1208a896eca39c757cd01db82d86c608b05a2bf089ea1836f3ebcb1466226a98","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",12,5,"internal124__exact500__20260805__H0",8,1751,2000,250,"5a200c13fe709b1139e02a623748d026c5c5067a677db20f83a6f431d419baf9","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",13,5,"internal124__exact500__20260805__H0",9,2001,2250,250,"0315fe9912f17cc4e0fcd451459e36b5d10538749a0d41bf2e03844ba267ee5f","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",14,5,"internal124__exact500__20260805__H0",10,2251,2500,250,"2205ea8daabeba14c3b79b53848c86e1d35e078b698af523c74305b6f6aa50a4","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",15,5,"internal124__exact500__20260805__H0",11,2501,2750,250,"dd0882aa935e46add94f04e1bc07b7f4e280ee9f468122456ff38981140c9d11","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",16,5,"internal124__exact500__20260805__H0",12,2751,3000,250,"ee97769a9efb21582c800f2bf2bd9406a6fb8f85669cf0bdd0e4f389e16b5257","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",17,5,"internal124__exact500__20260805__H0",13,3001,3250,250,"18af9b874ea59842d2db19b688bb341db77b718350e3f40020ede68896f7c6ba","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",18,5,"internal124__exact500__20260805__H0",14,3251,3500,250,"a9aaa5fea6b358142431059c9e1bccb477d42472bd41a83a29287512c5ece607","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",19,5,"internal124__exact500__20260805__H0",15,3501,3750,250,"94650013bcc3034d6c7ac4c13967dc807eb4d20e64706f79f03a2998af585555","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",20,5,"internal124__exact500__20260805__H0",16,3751,4000,250,"e8fd72b37fffbeeafc7acfd42dfb381ec1a31c73338df572a7fb8a128594da4b","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",21,5,"internal124__exact500__20260805__H0",17,4001,4250,250,"a9f447b1315aabc012f994bedc6e6647238b2d0605d9c5d1c902f42907633a83","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",22,5,"internal124__exact500__20260805__H0",18,4251,4500,250,"29a8a56032f22d1c7beb36791d04520eeb4954d991ce7fde4133eff1c5334def","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",23,5,"internal124__exact500__20260805__H0",19,4501,4750,250,"f36d1c483776b6ea2cc868d3a831a7519fce219175a4150d2597e73ef7732b2b","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",24,5,"internal124__exact500__20260805__H0",20,4751,5000,250,"6924fc2de1db3c02b94d1a58093d4308426aacfcf4fd698667289583d3752a32","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",25,5,"internal124__exact500__20260805__H0",21,5001,5250,250,"f24a6360bd4e9dc9bc0f3259092ba92b7c7e50e7434149146394a4f131b84ae7","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",26,5,"internal124__exact500__20260805__H0",22,5251,5500,250,"40cf3cd770612dd21cb043ad90badf86b13fab705d23257c778b994cb46b93fd","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",27,5,"internal124__exact500__20260805__H0",23,5501,5750,250,"f67d78ee8bbe8e1af202d0f48236d8e472d29d59bad6e8a50b1cdca8dad259cf","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",28,5,"internal124__exact500__20260805__H0",24,5751,6000,250,"e083bb15633ba7dc9681c573ff3beff8e92d2e3040d474b6b155ba650c80b69b","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",29,5,"internal124__exact500__20260805__H0",25,6001,6250,250,"659a3b12ce36ff66275d99a6fa6fd8341af0c8adb15affc9e3ca2fb3c4b62b6b","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",30,5,"internal124__exact500__20260805__H0",26,6251,6500,250,"590321604d3cee78fdcc1a62b3f6eac2a23f2b519cc1381a23efb5b7e904d7fc","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",31,5,"internal124__exact500__20260805__H0",27,6501,6750,250,"66db16b6897845a5e20e8bf487a05d24e8e6cfa69f3464a05bcb807e657ad213","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
"mv14_cell_landscape_queue_v1",32,5,"internal124__exact500__20260805__H0",28,6751,7000,250,"baf46c27f3ee2f048876de084aa5b431b05b456319753ff06432693c2c2a0e8c","authorized_after_mv14_prefreeze_commit",0,0,0,0,0,0,"closed",FALSE
