"contract_id","comparison_order","contrast_family","dataset_scope","homology_dimension","maximum_global_difference","maximum_neighbor_summary_difference","maximum_unit_neighbor_difference","pair_axis_identical","independently_recomputed"
"mv15_recomputation_v1",1,"cell_seed_stability","internal124","H0",4.2632564145606e-14,4.44089209850063e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",2,"cell_seed_stability","internal124","H0",4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",3,"cell_seed_stability","internal124","H0",4.2632564145606e-14,4.44089209850063e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",4,"cell_seed_stability","internal124","H0",3.33066907387547e-16,4.44089209850063e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",5,"cell_seed_stability","internal124","H0",4.2632564145606e-14,4.44089209850063e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",6,"cell_seed_stability","internal124","H0",4.2632564145606e-14,4.9960036108132e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",7,"cell_seed_stability","internal124","H0",4.2632564145606e-14,4.44089209850063e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",8,"cell_seed_stability","internal124","H0",4.2632564145606e-14,4.44089209850063e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",9,"cell_seed_stability","internal124","H0",4.21884749357559e-15,4.44089209850063e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",10,"cell_seed_stability","internal124","H0",4.2632564145606e-14,4.44089209850063e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",11,"cell_seed_stability","internal124","H1",4.44089209850063e-16,4.9960036108132e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",12,"cell_seed_stability","internal124","H1",4.88498130835069e-15,3.60822483003176e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",13,"cell_seed_stability","internal124","H1",4.44089209850063e-15,3.33066907387547e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",14,"cell_seed_stability","internal124","H1",3.60822483003176e-16,4.71844785465692e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",15,"cell_seed_stability","internal124","H1",4.88498130835069e-15,1.66533453693773e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",16,"cell_seed_stability","internal124","H1",4.44089209850063e-15,1.66533453693773e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",17,"cell_seed_stability","internal124","H1",4.44089209850063e-16,5.55111512312578e-17,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",18,"cell_seed_stability","internal124","H1",4.88498130835069e-15,3.88578058618805e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",19,"cell_seed_stability","internal124","H1",4.88498130835069e-15,3.05311331771918e-16,4.44089209850063e-16,TRUE,TRUE
"mv15_recomputation_v1",20,"cell_seed_stability","internal124","H1",4.44089209850063e-15,3.88578058618805e-16,4.44089209850063e-16,TRUE,TRUE
