"stack_order","stack_id","source_kind","source_stage","source_group_order","source_group_id","dataset_scope","panel_id","seed","homology_dimension","units","unordered_pairs","source_file_count","source_bytes","payload_set_sha256","pair_axis_sha256","source_rehashed"
1,"cell:external8__common475__20260805__H0","cell_topology_v2","MV14",1,"external8__common475__20260805__H0","external8","common475",20260805,"H0",8,28,1,18901,"5fb1ae2042f1b259c0ab6218cc9e7476b0b9d6fe3ade52270572f71a01ee534f","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
2,"cell:external8__common475__20260805__H1","cell_topology_v2","MV14",2,"external8__common475__20260805__H1","external8","common475",20260805,"H1",8,28,1,18876,"da27b7f5d689c5f5df8fdaf4a402fa298d132eace21edf4eb84328f225f3f33c","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
3,"cell:external8__exact500__20260805__H0","cell_topology_v2","MV14",3,"external8__exact500__20260805__H0","external8","exact500",20260805,"H0",8,28,1,18876,"3542e6318333d8f7731b911901d479a2c739be48d113fd087f6c4b71e8e304df","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
4,"cell:external8__exact500__20260805__H1","cell_topology_v2","MV14",4,"external8__exact500__20260805__H1","external8","exact500",20260805,"H1",8,28,1,18848,"e1d9663c5c872b29cb50c37ebfa778e6c567bbcc092554a42dfd20a614c09e47","3b817b7927474ac18ac9d2198da8102e12d4625e537b446b52896bb30812b30e",TRUE
5,"cell:internal124__exact500__20260805__H0","cell_topology_v2","MV14",5,"internal124__exact500__20260805__H0","internal124","exact500",20260805,"H0",124,7626,31,5181199,"9bffce8107cbdb3e5eec312c92c230d6445b60f7526feb6a9a55af06a7d40d71","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
6,"cell:internal124__exact500__20260805__H1","cell_topology_v2","MV14",6,"internal124__exact500__20260805__H1","internal124","exact500",20260805,"H1",124,7626,31,5177650,"99b78d087b7762ea15e4946782575d1f5ca4947dce858e8d2c269edd480bc524","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
7,"cell:internal124__exact500__20260806__H0","cell_topology_v2","MV14",7,"internal124__exact500__20260806__H0","internal124","exact500",20260806,"H0",124,7626,31,5181137,"b68ee83f98200f403ccab1dd3467068555f415ae4d5b00ca9bdb169ad5d3fbbc","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
8,"cell:internal124__exact500__20260806__H1","cell_topology_v2","MV14",8,"internal124__exact500__20260806__H1","internal124","exact500",20260806,"H1",124,7626,31,5177850,"bcb790ac3bc8357508207b55612cc00799b3622c5b6d97092992506d0d18f92b","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
9,"cell:internal124__exact500__20260807__H0","cell_topology_v2","MV14",9,"internal124__exact500__20260807__H0","internal124","exact500",20260807,"H0",124,7626,31,5181303,"553c26f2184a0c38dbd9d577fdfe3ce79f3275fe5d1a2a66ac1e06754e8f1f1c","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
10,"cell:internal124__exact500__20260807__H1","cell_topology_v2","MV14",10,"internal124__exact500__20260807__H1","internal124","exact500",20260807,"H1",124,7626,31,5185162,"819170e36663e5ee5893f89d67fcf7bb3d25bf1caff9bdfd09b3c2bfe3fa3476","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
11,"cell:internal124__exact500__20260808__H0","cell_topology_v2","MV14",11,"internal124__exact500__20260808__H0","internal124","exact500",20260808,"H0",124,7626,31,5188826,"9cfbddbc684aee7118398af1407aa54d502328af71e936d8dc3892d74f2242dc","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
12,"cell:internal124__exact500__20260808__H1","cell_topology_v2","MV14",12,"internal124__exact500__20260808__H1","internal124","exact500",20260808,"H1",124,7626,31,5184931,"bda850b7a25166d61ddb37ab61a3d718a0d504699f23b29e10a66cb9ea09e05b","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35",TRUE
