"comparison_order","comparison_id","contrast_family","dataset_scope","panel_id","seed","homology_dimension","left_view","right_view","units","unordered_pairs","pearson","spearman","relative_left_to_right_stress","median_abs_median_scaled_change","p95_abs_median_scaled_change"
1,"mv15:01:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260805_vs_20260806","H0","cell_topology_v2","cell_topology_v2",124,7626,0.959681227258732,0.954465042903862,0.129451888774482,0.0907614471420205,0.308353327867464
2,"mv15:02:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260805_vs_20260807","H0","cell_topology_v2","cell_topology_v2",124,7626,0.954174777722919,0.948261027137929,0.135572583877312,0.104974432983399,0.325063581156582
3,"mv15:03:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260805_vs_20260808","H0","cell_topology_v2","cell_topology_v2",124,7626,0.953472136725052,0.946134032754091,0.137367648392649,0.0926973292079543,0.363990822851334
4,"mv15:04:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260805_vs_20260809","H0","cell_topology_v2","cell_topology_v2",124,7626,0.959444527013934,0.95367633821715,0.127859267690607,0.0864745998727784,0.328851579644244
5,"mv15:05:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260806_vs_20260807","H0","cell_topology_v2","cell_topology_v2",124,7626,0.959401583191685,0.958268945015285,0.129790921109996,0.0939413664694697,0.326617859659831
6,"mv15:06:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260806_vs_20260808","H0","cell_topology_v2","cell_topology_v2",124,7626,0.961583759162624,0.952283048688348,0.12650396773233,0.0896984507329989,0.32031526537262
7,"mv15:07:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260806_vs_20260809","H0","cell_topology_v2","cell_topology_v2",124,7626,0.953606787334219,0.947194184193966,0.138701140105353,0.0965741102687873,0.3526525881271
8,"mv15:08:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260807_vs_20260808","H0","cell_topology_v2","cell_topology_v2",124,7626,0.960163148706514,0.952570602889336,0.126825466945217,0.0956247769628287,0.316415659962863
9,"mv15:09:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260807_vs_20260809","H0","cell_topology_v2","cell_topology_v2",124,7626,0.959644051683634,0.95106888699411,0.127126065564309,0.0846268537627824,0.329020168165065
10,"mv15:10:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260808_vs_20260809","H0","cell_topology_v2","cell_topology_v2",124,7626,0.956860496938965,0.947416450739328,0.13219284076334,0.0890525204563765,0.331032189750607
11,"mv15:11:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260805_vs_20260806","H1","cell_topology_v2","cell_topology_v2",124,7626,0.56322149428088,0.619016717607378,0.321478243325581,0.169895480614703,0.859730732225376
12,"mv15:12:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260805_vs_20260807","H1","cell_topology_v2","cell_topology_v2",124,7626,0.395725849581125,0.552737443119581,0.380379113982491,0.171175793909029,1.13927851001533
13,"mv15:13:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260805_vs_20260808","H1","cell_topology_v2","cell_topology_v2",124,7626,0.441409452631536,0.550964277413672,0.354007041294063,0.178838386743237,0.860189566064786
14,"mv15:14:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260805_vs_20260809","H1","cell_topology_v2","cell_topology_v2",124,7626,0.541487307623142,0.594703274478854,0.33902993031417,0.169309689719041,0.852755054784279
15,"mv15:15:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260806_vs_20260807","H1","cell_topology_v2","cell_topology_v2",124,7626,0.534061238248731,0.600411045049196,0.317105229631248,0.184732668693559,0.7340858079039
16,"mv15:16:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260806_vs_20260808","H1","cell_topology_v2","cell_topology_v2",124,7626,0.529430735239592,0.531970577844392,0.304754276676813,0.196395407532312,0.682905855967653
17,"mv15:17:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260806_vs_20260809","H1","cell_topology_v2","cell_topology_v2",124,7626,0.566506344552222,0.653553612391541,0.313353906078413,0.180252094885539,0.714973818316936
18,"mv15:18:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260807_vs_20260808","H1","cell_topology_v2","cell_topology_v2",124,7626,0.510656133334061,0.567960164925939,0.316646915298818,0.178148495221777,0.707910273122598
19,"mv15:19:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260807_vs_20260809","H1","cell_topology_v2","cell_topology_v2",124,7626,0.424571016050809,0.576505454919078,0.364384834414802,0.18107584791995,0.876383602132201
20,"mv15:20:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260808_vs_20260809","H1","cell_topology_v2","cell_topology_v2",124,7626,0.500724176760716,0.596425318316529,0.327983168078863,0.18888302991322,0.802383982500833
21,"mv15:21:cell_panel_sensitivity:H0","cell_panel_sensitivity","external8","common475_vs_exact500","20260805","H0","cell_topology_v2","cell_topology_v2",8,28,0.999212056238027,0.994526546250684,0.016826275599402,0.0137268144499783,0.0388314087950926
22,"mv15:22:cell_panel_sensitivity:H1","cell_panel_sensitivity","external8","common475_vs_exact500","20260805","H1","cell_topology_v2","cell_topology_v2",8,28,0.981659532527937,0.9584017515052,0.0405120415422485,0.0305022253601382,0.0793506763315577
23,"mv15:23:cell_gene_view_agreement:H0","cell_gene_view_agreement","internal124","exact500","20260805","H0","cell_topology_v2","gene_topology_v1",124,7626,0.23050657490419,0.212275295392825,0.602750806262255,0.52838730358864,1.77224045898552
24,"mv15:24:cell_gene_view_agreement:H1","cell_gene_view_agreement","internal124","exact500","20260805","H1","cell_topology_v2","gene_topology_v1",124,7626,-0.00767206657462583,0.0269872015277345,0.505394517857368,0.371656320423769,1.24040783170987
25,"mv15:25:cell_gene_view_agreement:H0","cell_gene_view_agreement","internal124","exact500","20260806","H0","cell_topology_v2","gene_topology_v1",124,7626,0.233962750505488,0.203305277759475,0.607280671662021,0.553836997101214,1.7490623761848
26,"mv15:26:cell_gene_view_agreement:H1","cell_gene_view_agreement","internal124","exact500","20260806","H1","cell_topology_v2","gene_topology_v1",124,7626,0.00901763659508894,0.0161547792206218,0.481410251928923,0.376154172452792,1.09369223569288
27,"mv15:27:cell_gene_view_agreement:H0","cell_gene_view_agreement","internal124","exact500","20260807","H0","cell_topology_v2","gene_topology_v1",124,7626,0.235463660308627,0.213892943324707,0.603750718000806,0.542064216098899,1.77059536869745
