"comparison_order","comparison_id","contrast_family","dataset_scope","panel_id","seed","homology_dimension","left_view","right_view","units","k","mean_neighbor_jaccard","median_neighbor_jaccard","p10_neighbor_jaccard"
1,"mv15:01:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260805_vs_20260806","H0","cell_topology_v2","cell_topology_v2",124,10,0.51179141511085,0.538461538461538,0.25
2,"mv15:02:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260805_vs_20260807","H0","cell_topology_v2","cell_topology_v2",124,10,0.450225895147497,0.428571428571429,0.176470588235294
3,"mv15:03:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260805_vs_20260808","H0","cell_topology_v2","cell_topology_v2",124,10,0.46659923393295,0.483516483516483,0.176470588235294
4,"mv15:04:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260805_vs_20260809","H0","cell_topology_v2","cell_topology_v2",124,10,0.477881434094607,0.538461538461538,0.25
5,"mv15:05:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260806_vs_20260807","H0","cell_topology_v2","cell_topology_v2",124,10,0.490523826268608,0.538461538461538,0.198529411764706
6,"mv15:06:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260806_vs_20260808","H0","cell_topology_v2","cell_topology_v2",124,10,0.496110717766315,0.538461538461538,0.25
7,"mv15:07:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260806_vs_20260809","H0","cell_topology_v2","cell_topology_v2",124,10,0.491006262565735,0.538461538461538,0.25
8,"mv15:08:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260807_vs_20260808","H0","cell_topology_v2","cell_topology_v2",124,10,0.458741559853864,0.428571428571429,0.25
9,"mv15:09:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260807_vs_20260809","H0","cell_topology_v2","cell_topology_v2",124,10,0.481926040131623,0.538461538461538,0.176470588235294
10,"mv15:10:cell_seed_stability:H0","cell_seed_stability","internal124","exact500","20260808_vs_20260809","H0","cell_topology_v2","cell_topology_v2",124,10,0.48436096026104,0.483516483516483,0.25
11,"mv15:11:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260805_vs_20260806","H1","cell_topology_v2","cell_topology_v2",124,10,0.224629760920083,0.176470588235294,0.0526315789473684
12,"mv15:12:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260805_vs_20260807","H1","cell_topology_v2","cell_topology_v2",124,10,0.220495993403713,0.176470588235294,0.0526315789473684
13,"mv15:13:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260805_vs_20260808","H1","cell_topology_v2","cell_topology_v2",124,10,0.219031608531509,0.176470588235294,0
14,"mv15:14:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260805_vs_20260809","H1","cell_topology_v2","cell_topology_v2",124,10,0.221494120026029,0.176470588235294,0.0526315789473684
15,"mv15:15:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260806_vs_20260807","H1","cell_topology_v2","cell_topology_v2",124,10,0.232470510059644,0.176470588235294,0.0526315789473684
16,"mv15:16:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260806_vs_20260808","H1","cell_topology_v2","cell_topology_v2",124,10,0.219358553355607,0.176470588235294,0.0526315789473684
17,"mv15:17:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260806_vs_20260809","H1","cell_topology_v2","cell_topology_v2",124,10,0.237652452910118,0.25,0.0526315789473684
18,"mv15:18:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260807_vs_20260808","H1","cell_topology_v2","cell_topology_v2",124,10,0.220578925468819,0.176470588235294,0.0526315789473684
19,"mv15:19:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260807_vs_20260809","H1","cell_topology_v2","cell_topology_v2",124,10,0.207380870375228,0.176470588235294,0.0526315789473684
20,"mv15:20:cell_seed_stability:H1","cell_seed_stability","internal124","exact500","20260808_vs_20260809","H1","cell_topology_v2","cell_topology_v2",124,10,0.221514850097692,0.176470588235294,0.0526315789473684
21,"mv15:21:cell_panel_sensitivity:H0","cell_panel_sensitivity","external8","common475_vs_exact500","20260805","H0","cell_topology_v2","cell_topology_v2",8,2,1,1,1
21,"mv15:21:cell_panel_sensitivity:H0","cell_panel_sensitivity","external8","common475_vs_exact500","20260805","H0","cell_topology_v2","cell_topology_v2",8,3,0.9375,1,0.85
