"contrast_family","dataset_scope","summary_panel","homology_dimension","contract_id","comparisons","pearson_median","pearson_min","pearson_max","spearman_median","spearman_min","spearman_max","relative_left_to_right_stress_median","relative_left_to_right_stress_min","relative_left_to_right_stress_max","median_abs_median_scaled_change_median","median_abs_median_scaled_change_min","median_abs_median_scaled_change_max","p95_abs_median_scaled_change_median","p95_abs_median_scaled_change_min","p95_abs_median_scaled_change_max"
"cell_gene_view_agreement","external8","common475","H0","mv16_global_family_summary_v1",1,0.636600448299841,0.636600448299841,0.636600448299841,0.569786535303777,0.569786535303777,0.569786535303777,0.365422268533796,0.365422268533796,0.365422268533796,0.262817059335205,0.262817059335205,0.262817059335205,0.723031106421403,0.723031106421403,0.723031106421403
"cell_gene_view_agreement","external8","common475","H1","mv16_global_family_summary_v1",1,0.366837269017111,0.366837269017111,0.366837269017111,0.284072249589491,0.284072249589491,0.284072249589491,0.204881376190082,0.204881376190082,0.204881376190082,0.17713073140347,0.17713073140347,0.17713073140347,0.374270416414383,0.374270416414383,0.374270416414383
"cell_gene_view_agreement","external8","exact500","H0","mv16_global_family_summary_v1",1,0.627411550309342,0.627411550309342,0.627411550309342,0.585112205801861,0.585112205801861,0.585112205801861,0.372883345991508,0.372883345991508,0.372883345991508,0.258614084229896,0.258614084229896,0.258614084229896,0.736332433867238,0.736332433867238,0.736332433867238
"cell_gene_view_agreement","external8","exact500","H1","mv16_global_family_summary_v1",1,0.251047417196474,0.251047417196474,0.251047417196474,0.201423097974822,0.201423097974822,0.201423097974822,0.199223271459304,0.199223271459304,0.199223271459304,0.155897544439981,0.155897544439981,0.155897544439981,0.359571435364067,0.359571435364067,0.359571435364067
"cell_gene_view_agreement","internal124","internal_exact500","H0","mv16_global_family_summary_v1",5,0.233962750505488,0.226593669646006,0.255455410598612,0.212275295392825,0.203305277759475,0.233583271559058,0.603750718000806,0.596810102270766,0.607280671662021,0.542064216098899,0.52838730358864,0.553836997101214,1.7521659245421,1.72641170675157,1.77224045898552
"cell_gene_view_agreement","internal124","internal_exact500","H1","mv16_global_family_summary_v1",5,0.0129023709029414,-0.00767206657462583,0.062588503645876,0.0269872015277345,0.00855166682972594,0.0760754920809837,0.481410251928923,0.465058505403121,0.505394517857368,0.361945632157299,0.354731634507126,0.376154172452792,1.09369223569288,1.04902651370167,1.24040783170987
"cell_panel_sensitivity","external8","common475_vs_exact500","H0","mv16_global_family_summary_v1",1,0.999212056238027,0.999212056238027,0.999212056238027,0.994526546250684,0.994526546250684,0.994526546250684,0.016826275599402,0.016826275599402,0.016826275599402,0.0137268144499783,0.0137268144499783,0.0137268144499783,0.0388314087950926,0.0388314087950926,0.0388314087950926
"cell_panel_sensitivity","external8","common475_vs_exact500","H1","mv16_global_family_summary_v1",1,0.981659532527937,0.981659532527937,0.981659532527937,0.9584017515052,0.9584017515052,0.9584017515052,0.0405120415422485,0.0405120415422485,0.0405120415422485,0.0305022253601382,0.0305022253601382,0.0305022253601382,0.0793506763315577,0.0793506763315577,0.0793506763315577
"cell_seed_stability","internal124","internal_exact500","H0","mv16_global_family_summary_v1",10,0.95942305510281,0.953472136725052,0.961583759162624,0.951675967841229,0.946134032754091,0.958268945015285,0.129621404942239,0.12650396773233,0.138701140105353,0.0917293881749874,0.0846268537627824,0.104974432983399,0.327734719652037,0.308353327867464,0.363990822851334
"cell_seed_stability","internal124","internal_exact500","H1","mv16_global_family_summary_v1",10,0.520043434286827,0.395725849581125,0.566506344552222,0.585604364698966,0.531970577844392,0.653553612391541,0.324730705702222,0.304754276676813,0.380379113982491,0.179545240814388,0.169309689719041,0.196395407532312,0.827569518642556,0.682905855967653,1.13927851001533
