"sentinel_id","view","burden_role","null_family","homology_dimension","summary_id","observed_value","null_mean","null_sd","replicates","exceedances","plus_one_tail_probability","monte_carlo_standard_error","minimum_attainable_probability"
"cell_maximum","cell","maximum","coordinate_permutation","H0","finite_interval_count",383,383,0,9,9,1,0,0.1
"cell_maximum","cell","maximum","coordinate_permutation","H0","total_persistence",2326.00816272635,2467.76824850316,10.7338784947134,9,9,1,0,0.1
"cell_maximum","cell","maximum","coordinate_permutation","H0","maximum_persistence",16.5119759591316,11.1205761416248,0.465591377421408,9,0,0.1,0.0948683298050514,0.1
"cell_maximum","cell","maximum","coordinate_permutation","H0","all_level_landscape_squared_l2_norm",8157.82814201395,8957.73071602593,106.590339613383,9,9,1,0,0.1
"cell_maximum","cell","maximum","coordinate_permutation","H1","finite_interval_count",418,520.444444444444,52.5454829436154,9,9,1,0,0.1
"cell_maximum","cell","maximum","coordinate_permutation","H1","total_persistence",90.2047178581028,124.150031721068,18.7104260270464,9,9,1,0,0.1
"cell_maximum","cell","maximum","coordinate_permutation","H1","maximum_persistence",0.908051187377432,1.00123261716739,0.134372673391767,9,8,0.9,0.0948683298050514,0.1
"cell_maximum","cell","maximum","coordinate_permutation","H1","all_level_landscape_squared_l2_norm",1.16503908971748,2.01933726053383,0.522137134445738,9,9,1,0,0.1
"cell_maximum","cell","maximum","covariance_gaussian","H0","finite_interval_count",383,383,0,9,9,1,0,0.1
"cell_maximum","cell","maximum","covariance_gaussian","H0","total_persistence",2326.00816272635,2435.77032068672,12.761801454484,9,9,1,0,0.1
"cell_maximum","cell","maximum","covariance_gaussian","H0","maximum_persistence",16.5119759591316,8.43194830909916,0.297969210703126,9,0,0.1,0.0948683298050514,0.1
"cell_maximum","cell","maximum","covariance_gaussian","H0","all_level_landscape_squared_l2_norm",8157.82814201395,8429.52033155437,122.962118539967,9,9,1,0,0.1
"cell_maximum","cell","maximum","covariance_gaussian","H1","finite_interval_count",418,581.444444444444,68.8297012762498,9,9,1,0,0.1
"cell_maximum","cell","maximum","covariance_gaussian","H1","total_persistence",90.2047178581028,151.12378445364,25.824960382994,9,9,1,0,0.1
"cell_maximum","cell","maximum","covariance_gaussian","H1","maximum_persistence",0.908051187377432,1.03351842080544,0.142445337855468,9,8,0.9,0.0948683298050514,0.1
"cell_maximum","cell","maximum","covariance_gaussian","H1","all_level_landscape_squared_l2_norm",1.16503908971748,2.86635857250086,0.791938381371517,9,9,1,0,0.1
"cell_maximum","cell","maximum","radial_density_cloud","H0","finite_interval_count",383,383,0,9,9,1,0,0.1
"cell_maximum","cell","maximum","radial_density_cloud","H0","total_persistence",2326.00816272635,2411.66336165411,6.47947913981314,9,9,1,0,0.1
"cell_maximum","cell","maximum","radial_density_cloud","H0","maximum_persistence",16.5119759591316,19.5636201773053,0.360349509500623,9,9,1,0,0.1
"cell_maximum","cell","maximum","radial_density_cloud","H0","all_level_landscape_squared_l2_norm",8157.82814201395,9633.35407858915,96.1852579858491,9,9,1,0,0.1
"cell_maximum","cell","maximum","radial_density_cloud","H1","finite_interval_count",418,378.888888888889,11.8790197874703,9,0,0.1,0.0948683298050514,0.1
"cell_maximum","cell","maximum","radial_density_cloud","H1","total_persistence",90.2047178581028,78.8674984044489,3.43732228685261,9,0,0.1,0.0948683298050514,0.1
"cell_maximum","cell","maximum","radial_density_cloud","H1","maximum_persistence",0.908051187377432,0.847689223844192,0.0935901396406458,9,3,0.4,0.154919333848297,0.1
"cell_maximum","cell","maximum","radial_density_cloud","H1","all_level_landscape_squared_l2_norm",1.16503908971748,1.02775049861335,0.0923179700755901,9,0,0.1,0.0948683298050514,0.1
"cell_median","cell","median","coordinate_permutation","H0","finite_interval_count",383,383,0,9,9,1,0,0.1
"cell_median","cell","median","coordinate_permutation","H0","total_persistence",2645.28319949281,3755.26036938741,16.0462221221372,9,9,1,0,0.1
"cell_median","cell","median","coordinate_permutation","H0","maximum_persistence",22.2422074423718,17.0700827425387,0.963588444340415,9,0,0.1,0.0948683298050514,0.1
"cell_median","cell","median","coordinate_permutation","H0","all_level_landscape_squared_l2_norm",15230.2270026449,32440.7354914244,395.142867466932,9,9,1,0,0.1
"cell_median","cell","median","coordinate_permutation","H1","finite_interval_count",238,307.222222222222,27.7793888421694,9,9,1,0,0.1
"cell_median","cell","median","coordinate_permutation","H1","total_persistence",70.0629079114314,132.29943075093,17.1989228038943,9,9,1,0,0.1
"cell_median","cell","median","coordinate_permutation","H1","maximum_persistence",3.23132427301029,2.37627633301053,0.818019610886869,9,1,0.2,0.126491106406735,0.1
"cell_median","cell","median","coordinate_permutation","H1","all_level_landscape_squared_l2_norm",6.49975325560985,8.95740883844202,3.26959852924058,9,7,0.8,0.126491106406735,0.1
"cell_median","cell","median","covariance_gaussian","H0","finite_interval_count",383,383,0,9,9,1,0,0.1
"cell_median","cell","median","covariance_gaussian","H0","total_persistence",2645.28319949281,3538.15347211549,15.5983196135318,9,9,1,0,0.1
"cell_median","cell","median","covariance_gaussian","H0","maximum_persistence",22.2422074423718,14.9001047029134,1.05657547231595,9,0,0.1,0.0948683298050514,0.1
"cell_median","cell","median","covariance_gaussian","H0","all_level_landscape_squared_l2_norm",15230.2270026449,26313.5482409793,346.893190664966,9,9,1,0,0.1
"cell_median","cell","median","covariance_gaussian","H1","finite_interval_count",238,425.111111111111,14.3826670374834,9,9,1,0,0.1
"cell_median","cell","median","covariance_gaussian","H1","total_persistence",70.0629079114314,195.473294374373,9.10891783832163,9,9,1,0,0.1
