"contract_id","view","burden_role","null_family","replicate","seed"
"mv17c_null_seed_v1","cell","maximum","coordinate_permutation",1,173001
"mv17c_null_seed_v1","cell","maximum","coordinate_permutation",2,173002
"mv17c_null_seed_v1","cell","maximum","coordinate_permutation",3,173003
"mv17c_null_seed_v1","cell","maximum","coordinate_permutation",4,173004
"mv17c_null_seed_v1","cell","maximum","coordinate_permutation",5,173005
"mv17c_null_seed_v1","cell","maximum","coordinate_permutation",6,173006
"mv17c_null_seed_v1","cell","maximum","coordinate_permutation",7,173007
"mv17c_null_seed_v1","cell","maximum","coordinate_permutation",8,173008
"mv17c_null_seed_v1","cell","maximum","coordinate_permutation",9,173009
"mv17c_null_seed_v1","cell","maximum","covariance_gaussian",1,173010
"mv17c_null_seed_v1","cell","maximum","covariance_gaussian",2,173011
"mv17c_null_seed_v1","cell","maximum","covariance_gaussian",3,173012
"mv17c_null_seed_v1","cell","maximum","covariance_gaussian",4,173013
"mv17c_null_seed_v1","cell","maximum","covariance_gaussian",5,173014
"mv17c_null_seed_v1","cell","maximum","covariance_gaussian",6,173015
"mv17c_null_seed_v1","cell","maximum","covariance_gaussian",7,173016
"mv17c_null_seed_v1","cell","maximum","covariance_gaussian",8,173017
"mv17c_null_seed_v1","cell","maximum","covariance_gaussian",9,173018
"mv17c_null_seed_v1","cell","maximum","radial_density_cloud",1,173019
"mv17c_null_seed_v1","cell","maximum","radial_density_cloud",2,173020
"mv17c_null_seed_v1","cell","maximum","radial_density_cloud",3,173021
"mv17c_null_seed_v1","cell","maximum","radial_density_cloud",4,173022
"mv17c_null_seed_v1","cell","maximum","radial_density_cloud",5,173023
"mv17c_null_seed_v1","cell","maximum","radial_density_cloud",6,173024
"mv17c_null_seed_v1","cell","maximum","radial_density_cloud",7,173025
"mv17c_null_seed_v1","cell","maximum","radial_density_cloud",8,173026
"mv17c_null_seed_v1","cell","maximum","radial_density_cloud",9,173027
"mv17c_null_seed_v1","cell","median","coordinate_permutation",1,173028
"mv17c_null_seed_v1","cell","median","coordinate_permutation",2,173029
"mv17c_null_seed_v1","cell","median","coordinate_permutation",3,173030
"mv17c_null_seed_v1","cell","median","coordinate_permutation",4,173031
"mv17c_null_seed_v1","cell","median","coordinate_permutation",5,173032
"mv17c_null_seed_v1","cell","median","coordinate_permutation",6,173033
"mv17c_null_seed_v1","cell","median","coordinate_permutation",7,173034
"mv17c_null_seed_v1","cell","median","coordinate_permutation",8,173035
"mv17c_null_seed_v1","cell","median","coordinate_permutation",9,173036
"mv17c_null_seed_v1","cell","median","covariance_gaussian",1,173037
"mv17c_null_seed_v1","cell","median","covariance_gaussian",2,173038
"mv17c_null_seed_v1","cell","median","covariance_gaussian",3,173039
"mv17c_null_seed_v1","cell","median","covariance_gaussian",4,173040
"mv17c_null_seed_v1","cell","median","covariance_gaussian",5,173041
"mv17c_null_seed_v1","cell","median","covariance_gaussian",6,173042
"mv17c_null_seed_v1","cell","median","covariance_gaussian",7,173043
"mv17c_null_seed_v1","cell","median","covariance_gaussian",8,173044
"mv17c_null_seed_v1","cell","median","covariance_gaussian",9,173045
