"contract_id","mode","view","null_family","grouped_children","scientific_runs"
"mv17g_queue_summary_v1","primary","cell","coordinate_permutation",132,13068
"mv17g_queue_summary_v1","primary","gene","coordinate_permutation",132,13068
"mv17g_queue_summary_v1","primary","cell","covariance_gaussian",132,13068
"mv17g_queue_summary_v1","primary","gene","covariance_gaussian",132,13068
"mv17g_queue_summary_v1","primary","cell","observed",132,132
"mv17g_queue_summary_v1","primary","gene","observed",132,132
"mv17g_queue_summary_v1","primary","cell","radial_density_cloud",132,13068
"mv17g_queue_summary_v1","primary","gene","radial_density_cloud",132,13068
"mv17g_queue_summary_v1","primary","gene","within_row_axis_shuffle",132,13068
"mv17g_queue_summary_v1","repeat","cell","coordinate_permutation",3,297
"mv17g_queue_summary_v1","repeat","gene","coordinate_permutation",3,297
"mv17g_queue_summary_v1","repeat","cell","covariance_gaussian",3,297
"mv17g_queue_summary_v1","repeat","gene","covariance_gaussian",3,297
"mv17g_queue_summary_v1","repeat","cell","observed",3,3
"mv17g_queue_summary_v1","repeat","gene","observed",3,3
"mv17g_queue_summary_v1","repeat","cell","radial_density_cloud",3,297
"mv17g_queue_summary_v1","repeat","gene","radial_density_cloud",3,297
"mv17g_queue_summary_v1","repeat","gene","within_row_axis_shuffle",3,297
