"tissue","group","samples"
"bone marrow","Primary 90",31
"colon","Primary 90",13
"liver","Primary 90",6
"pancreatic islets","Primary 90",0
"pbmc","Primary 90",12
"prostate","Primary 90",0
"substantia nigra","Primary 90",0
"testis","Primary 90",28
"bone marrow","Added descriptive 34",0
"colon","Added descriptive 34",0
"liver","Added descriptive 34",0
"pancreatic islets","Added descriptive 34",12
"pbmc","Added descriptive 34",0
"prostate","Added descriptive 34",16
"substantia nigra","Added descriptive 34",6
"testis","Added descriptive 34",0
