"contract_id","source_order","source_id","locator","sha256","bytes","access_class","expected_head","new_ph","new_data"
"mv08a_source_manifest_v1",1,"mv07j_decision","docs/audits/mv07j-synthesis-evidence/mv07j-decision.csv","6595a5a37598602851c55197f88140ea8a5655dae366a221387161e1729025c7",436,"public_repository","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",2,"landscape_contract","docs/audits/mv07j-synthesis-evidence/mv07j-landscape-observation-contract.csv","d6461c1dcd743b9ad6df04ddcb694d9495bf3043d5aae76486edb4bbe7853a48",1261,"public_repository","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",3,"h0_composite","docs/audits/mv07j-synthesis-evidence/mv07j-h0-composite-concordance.csv","1ae4c4db775f4dde37c4800af09852cad972859c818c09233893d0ea1baf81ad",2280,"public_repository","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",4,"stability","docs/audits/mv07j-synthesis-evidence/mv07j-complete-stability-curve.csv","f8fa6b98d960040406a6a82fc1a17cea02100ccd0cb47d0ce7bb7a6452c41199",6170,"public_repository","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",5,"outcomes","docs/audits/mv07j-synthesis-evidence/mv07j-complete-outcome-summary.csv","ad4c584d937055df0dd3c0e4932665112786d74969ecb7f83bc9f1487619bedb",51663,"public_repository","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",6,"algorithm","docs/audits/mv07j-synthesis-evidence/mv07j-algorithm-sensitivity.csv","37659cd4fba74d9ed5de64b4ae16d482fc14887a6d5b303bb73f8b03be5199fb",3006,"public_repository","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",7,"external_gate","docs/audits/mv07j-synthesis-evidence/mv07j-external-data-gate.csv","6aeac027f3d79ca220efe23881223ff26ad24ec01ce884a318000c5b58145086",1013,"public_repository","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",8,"tissue_summary","docs/audits/mv07d-prefreeze-evidence/mv07d-tissue-study-summary.csv","e3ea7a57b02d80d9f87dfb85819afe108fd880142e5d5f89a9e687fcdf536fcd",668,"public_repository","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",9,"metadata_counts","docs/audits/mv07i-outcome-prefreeze-evidence/mv07i-outcome-metadata-counts.csv","fe2ad3eaee899ab2373fb4dd6d05314f3163f7224ba2f433d2d6b59ae1350252",5063,"public_repository","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",10,"ph_metrics","docs/audits/mv07h-full-ph-evidence/mv07h-ph-metrics.csv","171263978a27f99d3ad158905703c4424259f1147f22803d2199c54e991d2bcf",578397,"public_repository","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",11,"label_manifest","docs/audits/mv07i-label-closed-validation/mv07i-label-closed-artifact-manifest.csv","b9c6f838946051c1698069bfcf172200480c2e1135d8ccbb8356a1726b7dc3ad",1916,"public_repository","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",12,"specification","docs/specifications/MV08A_CORRECTED_PUBLICATION_FIGURE_PREFREEZE_V1.md","c18d15c4d944242a507aaf4e36dc6e311a398f88bd0784b30b8152ac3694c92d",6038,"public_repository","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",13,"renderer","scripts/render_mv08a_corrected_publication_figures.R","1143e7cada63257700f0403c9a03e0f5d18776b8fb0e0e3788b101c925019967",28367,"public_repository","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",14,"validator","scripts/validate_mv08a_corrected_publication_figures.R","e72ec1c39692213be534e5744f4018a8b2e442febdd65e25db00d724dce51532",11324,"public_repository","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",15,"fixed_ph_artifact","private_validated_artifact_not_published","1320007ecac22d63d683cf05150e916d2d4caf1defc2819e074588f310b79cef",29126,"private_hash_validated","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
"mv08a_source_manifest_v1",16,"private_h1_pair_table","private_validated_artifact_not_published","fd8fb67e040ff021182314dd1cc4ae27c62924c410e84d2237268b9aa836cb80",5297385,"private_hash_validated","912df83acb3a655becf61dd1dc86e7969d5f063f",FALSE,FALSE
