contract_id,archive_member,source_path,category,media_type,bytes,sha256,git_blob,source_revision,base_revision
scphcompare_publication_evidence_v1,evidence/docs/audits/dependency-bootstrap-manifest-2026-08-05.csv,docs/audits/dependency-bootstrap-manifest-2026-08-05.csv,generated_audit_table,text/csv,17013,c33b19a554a9924f1b22533f779f5b790c0a2aa0bdabc22e3fe8ae23e60c1628,078d3e907f33a5cd3be6ee595161bed7f49c45a2,53c5f2e0864aff288d34871fb8272da15ac660ca,3910b15ce6d3f88197847a8aba94b184e7d9c034
scphcompare_publication_evidence_v1,evidence/docs/audits/landscape-convergence-2026-08-05/landscape-clustering-stability-detail.csv,docs/audits/landscape-convergence-2026-08-05/landscape-clustering-stability-detail.csv,generated_audit_table,text/csv,72482,f169f227611be451d3e7b48e96e10ebab0de39f45a9c09398fd23ca4e871bb49,0757b114a76be282be9776e6ac657639c24ad590,53c5f2e0864aff288d34871fb8272da15ac660ca,3910b15ce6d3f88197847a8aba94b184e7d9c034
scphcompare_publication_evidence_v1,evidence/docs/audits/landscape-convergence-2026-08-05/landscape-diagnostic-sample-manifest.csv,docs/audits/landscape-convergence-2026-08-05/landscape-diagnostic-sample-manifest.csv,generated_audit_table,text/csv,13962,a4a24be7db44489c7b9031feeb4a324c4b777bfc586ab62f35606fe01859d41e,9130014e04562e09e7260937b4b28e5490ee7bdb,53c5f2e0864aff288d34871fb8272da15ac660ca,3910b15ce6d3f88197847a8aba94b184e7d9c034
scphcompare_publication_evidence_v1,evidence/docs/audits/landscape-convergence-2026-08-05/landscape-distance-clustering-convergence.csv,docs/audits/landscape-convergence-2026-08-05/landscape-distance-clustering-convergence.csv,generated_audit_table,text/csv,63082,eb08bbc326ed6550cd4065685682cc01b97db034b972366cca5efb2f46602c0c,162bc5cb1c7ac296ac2d4905f9a85c8f82a8cc7a,53c5f2e0864aff288d34871fb8272da15ac660ca,3910b15ce6d3f88197847a8aba94b184e7d9c034
scphcompare_publication_evidence_v1,evidence/docs/audits/landscape-convergence-2026-08-05/landscape-energy-capture.csv,docs/audits/landscape-convergence-2026-08-05/landscape-energy-capture.csv,generated_audit_table,text/csv,763284,15aea53ece3a6913dbf1665df39b7bdc5e5c2ba6d2858554e1d08e2de6a9503b,1a796ab969c1bf1b0ffea4376e329a06b834ba33,53c5f2e0864aff288d34871fb8272da15ac660ca,3910b15ce6d3f88197847a8aba94b184e7d9c034
scphcompare_publication_evidence_v1,evidence/docs/audits/landscape-convergence-2026-08-05/landscape-engine-validation.csv,docs/audits/landscape-convergence-2026-08-05/landscape-engine-validation.csv,generated_audit_table,text/csv,86,f1d007eb70dbc1dc2a26c590d9a64c82ba28aac5a0d460b6224ab1ad14d6996e,1ac9c482035ea711f0c0fd3a4edda06e0c4d4e14,53c5f2e0864aff288d34871fb8272da15ac660ca,3910b15ce6d3f88197847a8aba94b184e7d9c034
scphcompare_publication_evidence_v1,evidence/docs/audits/landscape-convergence-2026-08-05/landscape-exact-full-clustering-detail.csv,docs/audits/landscape-convergence-2026-08-05/landscape-exact-full-clustering-detail.csv,generated_audit_table,text/csv,31213,a43df60fe145cbb131ade8733b3298c3841d86b5d44e4beebb6214a8581c3a74,ca2681abd4796b930d4d8fc578dc10bb1541b0ef,53c5f2e0864aff288d34871fb8272da15ac660ca,3910b15ce6d3f88197847a8aba94b184e7d9c034
scphcompare_publication_evidence_v1,evidence/docs/audits/landscape-convergence-2026-08-05/landscape-exact-full-convergence.csv,docs/audits/landscape-convergence-2026-08-05/landscape-exact-full-convergence.csv,generated_audit_table,text/csv,21988,c3e43e89ad584a97897fcd47a2f31b3d7a7e2ab37c5822cb3c37a86d3f4453e3,2ddd2e7ebf8f73a16da819e4566420f425643fd3,53c5f2e0864aff288d34871fb8272da15ac660ca,3910b15ce6d3f88197847a8aba94b184e7d9c034
scphcompare_publication_evidence_v1,evidence/docs/audits/landscape-convergence-2026-08-05/landscape-exact-full-energy.csv,docs/audits/landscape-convergence-2026-08-05/landscape-exact-full-energy.csv,generated_audit_table,text/csv,324565,a9f6a134aed67d5029b297fc34cd2f6de10f7240dcecf8d785def25110b041a4,6442837dee1e8472fff5f01fa9dfaf942193dc8c,53c5f2e0864aff288d34871fb8272da15ac660ca,3910b15ce6d3f88197847a8aba94b184e7d9c034
scphcompare_publication_evidence_v1,evidence/docs/audits/landscape-convergence-2026-08-05/landscape-exact-full-recommendations.csv,docs/audits/landscape-convergence-2026-08-05/landscape-exact-full-recommendations.csv,generated_audit_table,text/csv,781,a6410cb8407e186de921c90ac03ded4c5a8ab7bdbfb8af172775c4620013373c,2198a48e2ed97043f228364dfa10350bff8274b2,53c5f2e0864aff288d34871fb8272da15ac660ca,3910b15ce6d3f88197847a8aba94b184e7d9c034
