"contract_id","panel_sha256","panel_order","feature_id","gene","category","median_variance_rank","minimum_variance","finite_cache_count","positive_cache_count","selected_all_cache_core"
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",1,"CD74-ENSG00000019582.14","CD74","retained_candidate",7,0.0215215979635356,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",2,"S100A6-ENSG00000197956.9","S100A6","retained_candidate",8,0.0192348465102152,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",3,"MALAT1-ENSG00000251562.7","MALAT1","retained_candidate",9,0.0763704370195278,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",4,"TMSB4X-ENSG00000205542.10","TMSB4X","retained_candidate",9,0.0656284341777183,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",5,"FTL-ENSG00000087086.14","FTL","retained_candidate",12,0.215871578466896,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",6,"LGALS1-ENSG00000100097.11","LGALS1","retained_candidate",15,0.0282564968745486,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",7,"JUN-ENSG00000177606.6","JUN","retained_candidate",16,0.0583757330001019,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",8,"JUNB-ENSG00000171223.5","JUNB","retained_candidate",17,0.0235901933446848,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",9,"FOS-ENSG00000170345.9","FOS","retained_candidate",20,0.0098264976736969,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",10,"VIM-ENSG00000026025.15","VIM","retained_candidate",20,0.0351185666426551,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",11,"NEAT1-ENSG00000245532.7","NEAT1","retained_candidate",24,0.0385705354020624,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",12,"SAT1-ENSG00000130066.16","SAT1","retained_candidate",24,0.0288000011606755,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",13,"ACTB-ENSG00000075624.13","ACTB","retained_candidate",30,0.167030587813381,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",14,"BTG1-ENSG00000133639.4","BTG1","retained_candidate",31.5,0.168732371242657,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",15,"B2M-ENSG00000166710.17","B2M","retained_candidate",34,0.0713552879934295,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",16,"CST3-ENSG00000101439.8","CST3","retained_candidate",35,0.0110254087927949,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",17,"DUSP1-ENSG00000120129.5","DUSP1","retained_candidate",38,0.0421107038639836,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",18,"TMSB10-ENSG00000034510.5","TMSB10","retained_candidate",41,0.0799699729655348,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",19,"HLA-A-ENSG00000206503.12","HLA-A","retained_candidate",44,0.0816486894284496,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",20,"ZFP36L2-ENSG00000152518.7","ZFP36L2","retained_candidate",46.5,0.0399615374731195,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",21,"HLA-B-ENSG00000234745.10","HLA-B","retained_candidate",50,0.0675178389357892,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",22,"ACTG1-ENSG00000184009.9","ACTG1","retained_candidate",51,0.152664621144941,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",23,"HLA-C-ENSG00000204525.16","HLA-C","retained_candidate",51,0.0444403820596065,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",24,"NFKBIA-ENSG00000100906.10","NFKBIA","retained_candidate",58,0.0367834353044666,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",25,"S100A10-ENSG00000197747.8","S100A10","retained_candidate",59,0.111828638920671,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",26,"HLA-E-ENSG00000204592.8","HLA-E","retained_candidate",65.5,0.0110254087927949,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",27,"HSP90AA1-ENSG00000080824.18","HSP90AA1","retained_candidate",70.5,0.147455602389419,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",28,"CYBA-ENSG00000051523.10","CYBA","retained_candidate",71.5,0.0098264976736969,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",29,"PTMA-ENSG00000187514.16","PTMA","retained_candidate",72,0.169631665748804,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",30,"PFN1-ENSG00000108518.7","PFN1","retained_candidate",74.5,0.0748430857583717,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",31,"LRRC75A-AS1-ENSG00000175061.17","LRRC75A-AS1","retained_candidate",77,0.1142316708516,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",32,"HMGB1-ENSG00000189403.14","HMGB1","retained_candidate",78,0.176567552250638,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",33,"MYL6-ENSG00000092841.18","MYL6","retained_candidate",78,0.118274753091302,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",34,"GAS5-ENSG00000234741.7","GAS5","retained_candidate",83,0.103470443156326,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",35,"YBX1-ENSG00000065978.18","YBX1","retained_candidate",90,0.0588350732240454,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",36,"MTATP6P1-ENSG00000248527.1","MTATP6P1","retained_candidate",93.5,0.104165394109758,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",37,"ZFP36-ENSG00000128016.5","ZFP36","retained_candidate",98,0.00928188175357663,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",38,"IER2-ENSG00000160888.6","IER2","retained_candidate",106.5,0.0367683464775817,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",39,"NPM1-ENSG00000181163.13","NPM1","retained_candidate",106.5,0.200956580298214,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",40,"ANXA1-ENSG00000135046.13","ANXA1","retained_candidate",107.5,0.00862105297901799,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",41,"H3F3B-ENSG00000132475.10","H3F3B","retained_candidate",110,0.130992273517754,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",42,"ITM2B-ENSG00000136156.12","ITM2B","retained_candidate",110.5,0.163942477580555,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",43,"HNRNPA1-ENSG00000135486.17","HNRNPA1","retained_candidate",111.5,0.129024908136171,450,450,TRUE
"mv06c_global_core_panel_v1","7be22cdb9056fed427c78d58be2b19e258c7c6807e6f7ac3900bd1bfa1d19eb8",44,"CFL1-ENSG00000172757.12","CFL1","retained_candidate",115.5,0.103163560352597,450,450,TRUE
