"contract_id","panel_order","panel_feature_id","panel_gene","ensembl_stable_id","ensembl93_gene_version","ensembl93_gene_name","ensembl93_gene_biotype","cellranger_3_0_0_filter_status","current_ensembl_lookup_present","current_ensembl_display_name","crosswalk_can_restore_matrix_count"
"mv08e_missing_biotype_reconciliation_v1","25","GAS5-ENSG00000234741.7","GAS5","ENSG00000234741","7","GAS5","processed_transcript","excluded_by_documented_biotype_filter","TRUE","GAS5","FALSE"
"mv08e_missing_biotype_reconciliation_v1","31","LRRC75A-AS1-ENSG00000175061.17","LRRC75A-AS1","ENSG00000175061","17","LRRC75A-AS1","processed_transcript","excluded_by_documented_biotype_filter","TRUE","SNHG29","FALSE"
"mv08e_missing_biotype_reconciliation_v1","34","MTATP6P1-ENSG00000248527.1","MTATP6P1","ENSG00000248527","1","MTATP6P1","unprocessed_pseudogene","excluded_by_documented_biotype_filter","TRUE","MTATP6P1","FALSE"
"mv08e_missing_biotype_reconciliation_v1","50","AC073861.1-ENSG00000242299.1","AC073861.1","ENSG00000242299","1","AC073861.1","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","RPS18P5","FALSE"
"mv08e_missing_biotype_reconciliation_v1","63","AC008038.1-ENSG00000283041.1","AC008038.1","ENSG00000283041","1","AC008038.1","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","","FALSE"
"mv08e_missing_biotype_reconciliation_v1","66","SNHG5-ENSG00000203875.10","SNHG5","ENSG00000203875","10","SNHG5","processed_transcript","excluded_by_documented_biotype_filter","TRUE","SNHG5","FALSE"
"mv08e_missing_biotype_reconciliation_v1","74","AC116533.1-ENSG00000244398.1","AC116533.1","ENSG00000244398","1","AC116533.1","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","RPL36AP37","FALSE"
"mv08e_missing_biotype_reconciliation_v1","79","AP001324.1-ENSG00000227615.1","AP001324.1","ENSG00000227615","1","AP001324.1","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","","FALSE"
"mv08e_missing_biotype_reconciliation_v1","92","AC016739.1-ENSG00000218175.2","AC016739.1","ENSG00000218175","2","AC016739.1","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","","FALSE"
"mv08e_missing_biotype_reconciliation_v1","107","AP005202.1-ENSG00000235552.4","AP005202.1","ENSG00000235552","4","RPL6P27","transcribed_processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","RPL6P27","FALSE"
"mv08e_missing_biotype_reconciliation_v1","110","AC022431.1-ENSG00000226221.1","AC022431.1","ENSG00000226221","1","RPL26P19","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","RPL26P19","FALSE"
