"contract_id","panel_order","panel_sha256","reference_feature_id","reference_gene","ensembl_stable_id","donors_missing_stable_id","donors_with_one_exact_symbol_candidate","symbol_only_candidate_ids","symbol_only_rescue_applied","disposition"
"mv08d_hca_missing_panel_summary_v1",25,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","GAS5-ENSG00000234741.7","GAS5","ENSG00000234741",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",31,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","LRRC75A-AS1-ENSG00000175061.17","LRRC75A-AS1","ENSG00000175061",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",34,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","MTATP6P1-ENSG00000248527.1","MTATP6P1","ENSG00000248527",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",50,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AC073861.1-ENSG00000242299.1","AC073861.1","ENSG00000242299",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",63,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AC008038.1-ENSG00000283041.1","AC008038.1","ENSG00000283041",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",66,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","SNHG5-ENSG00000203875.10","SNHG5","ENSG00000203875",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",74,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AC116533.1-ENSG00000244398.1","AC116533.1","ENSG00000244398",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",79,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AP001324.1-ENSG00000227615.1","AP001324.1","ENSG00000227615",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",92,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AC016739.1-ENSG00000218175.2","AC016739.1","ENSG00000218175",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",107,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AP005202.1-ENSG00000235552.4","AP005202.1","ENSG00000235552",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
